book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
John,1,1,John 1:1 bible,False,18600000,18600000,True,7,7,True,7,7,,,,
John,1,2,John 1:2 bible,False,40800000,40800000,True,9,9,True,9,9,,,,
John,1,3,John 1:3 bible,False,20300000,20300000,True,7,7,True,7,7,,,,
John,1,4,John 1:4 bible,False,17000000,17000000,True,8,8,True,8,8,,,,
John,1,5,John 1:5 bible,False,14200000,14200000,True,7,7,True,7,7,,,,
John,1,6,John 1:6 bible,False,11600000,11600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,7,John 1:7 bible,False,10900000,10900000,True,8,8,True,8,8,,,,
John,1,8,John 1:8 bible,False,11400000,11400000,True,10,10,True,10,10,,,,
John,1,9,John 1:9 bible,False,11300000,11300000,True,7,7,True,7,7,,,,
John,1,10,John 1:10 bible,False,9800000,9800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,11,John 1:11 bible,False,9220000,9220000,True,10,10,True,10,10,,,,
John,1,12,John 1:12 bible,False,10200000,10200000,True,8,8,True,8,8,,,,
John,1,13,John 1:13 bible,False,7140000,7140000,True,9,9,True,9,9,,,,
John,1,14,John 1:14 bible,False,7700000,7700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,15,John 1:15 bible,False,7030000,7030000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,16,John 1:16 bible,False,7060000,7060000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,17,John 1:17 bible,False,6800000,6800000,True,7,7,True,7,7,,,,
John,1,18,John 1:18 bible,False,7540000,7540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,19,John 1:19 bible,False,5240000,5240000,True,8,8,True,8,8,,,,
John,1,20,John 1:20 bible,False,6460000,6460000,True,10,10,True,10,10,,,,
John,1,21,John 1:21 bible,False,5400000,5400000,True,9,9,True,9,9,,,,
John,1,22,John 1:22 bible,False,4500000,4500000,True,10,10,True,10,10,,,,
John,1,23,John 1:23 bible,False,4040000,4040000,True,9,9,True,9,9,,,,
John,1,24,John 1:24 bible,False,3720000,3720000,True,8,8,True,8,8,,,,
John,1,25,John 1:25 bible,False,3560000,3560000,True,9,9,True,9,9,,,,
John,1,26,John 1:26 bible,False,4820000,4820000,True,10,10,True,10,10,,,,
John,1,27,John 1:27 bible,True,130,4180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,28,John 1:28 bible,False,3540000,3540000,True,9,9,True,9,9,,,,
John,1,29,John 1:29 bible,False,3770000,3770000,True,9,9,True,9,9,,,,
John,1,30,John 1:30 bible,False,4450000,4450000,True,8,8,True,8,8,,,,
John,1,31,John 1:31 bible,True,311,2670000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,32,John 1:32 bible,False,1430000,1430000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,33,John 1:33 bible,False,953000,953000,True,9,9,True,9,9,,,,
John,1,34,John 1:34 bible,False,896000,896000,True,8,8,True,8,8,,,,
John,1,35,John 1:35 bible,False,2090000,2090000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,36,John 1:36 bible,False,717000,717000,True,9,9,True,9,9,,,,
John,1,37,John 1:37 bible,True,320,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,38,John 1:38 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,39,John 1:39 bible,False,980000,980000,True,9,9,True,9,9,,,,
John,1,40,John 1:40 bible,False,1240000,1240000,True,9,9,True,9,9,,,,
John,1,41,John 1:41 bible,False,808000,808000,True,9,9,True,9,9,,,,
John,1,42,John 1:42 bible,False,759000,759000,True,9,9,True,9,9,,,,
John,1,43,John 1:43 bible,False,731000,731000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,44,John 1:44 bible,False,655000,655000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,45,John 1:45 bible,False,1150000,1150000,True,9,9,True,9,9,,,,
John,1,46,John 1:46 bible,True,0,832000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,47,John 1:47 bible,False,590000,590000,True,9,9,True,9,9,,,,
John,1,48,John 1:48 bible,False,644000,644000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,49,John 1:49 bible,False,438000,438000,True,9,9,True,9,9,,,,
John,1,50,John 1:50 bible,True,131,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,1,51,John 1:51 bible,False,492000,492000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,1,John 2:1 bible,False,13300000,13300000,True,8,8,True,8,8,,,,
John,2,2,John 2:2 bible,False,7780000,7780000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,3,John 2:3 bible,False,22800000,22800000,True,9,9,True,9,9,,,,
John,2,4,John 2:4 bible,False,10500000,10500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,5,John 2:5 bible,True,0,8800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,6,John 2:6 bible,False,6280000,6280000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,7,John 2:7 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,8,John 2:8 bible,True,137,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,9,John 2:9 bible,False,6210000,6210000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,10,John 2:10 bible,False,6090000,6090000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,11,John 2:11 bible,True,134,5290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,12,John 2:12 bible,False,4790000,4790000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,13,John 2:13 bible,True,0,5180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,14,John 2:14 bible,False,5470000,5470000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,15,John 2:15 bible,False,5270000,5270000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,16,John 2:16 bible,False,4110000,4110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,17,John 2:17 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,18,John 2:18 bible,False,3640000,3640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,19,John 2:19 bible,True,137,3700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,20,John 2:20 bible,False,4520000,4520000,True,9,9,True,9,9,,,,
John,2,21,John 2:21 bible,False,3140000,3140000,True,10,10,True,10,10,,,,
John,2,22,John 2:22 bible,False,3130000,3130000,True,9,9,True,9,9,,,,
John,2,23,John 2:23 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,24,John 2:24 bible,False,3530000,3530000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,2,25,John 2:25 bible,False,2560000,2560000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,1,John 3:1 bible,True,133,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,2,John 3:2 bible,False,7170000,7170000,True,9,9,True,9,9,,,,
John,3,3,John 3:3 bible,False,7420000,7420000,True,8,7,True,8,7,,,,
John,3,4,John 3:4 bible,False,21800000,21800000,True,9,9,True,9,9,,,,
John,3,5,John 3:5 bible,False,14000000,14000000,True,9,9,True,9,9,,,,
John,3,6,John 3:6 bible,False,7920000,7920000,True,10,10,True,10,10,,,,
John,3,7,John 3:7 bible,False,5970000,5970000,True,9,9,True,9,9,,,,
John,3,8,John 3:8 bible,False,6760000,6760000,True,8,8,True,8,8,,,,
John,3,9,John 3:9 bible,True,128,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,10,John 3:10 bible,False,6060000,6060000,True,9,9,True,9,9,,,,
John,3,11,John 3:11 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,12,John 3:12 bible,False,5220000,5220000,True,9,9,True,9,9,,,,
John,3,13,John 3:13 bible,False,5560000,5560000,True,9,9,True,9,9,,,,
John,3,14,John 3:14 bible,True,134,5320000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,15,John 3:15 bible,False,6130000,6130000,True,9,9,True,9,9,,,,
John,3,16,John 3:16 bible,True,131,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,17,John 3:17 bible,False,5340000,5340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,18,John 3:18 bible,False,4970000,4970000,True,8,7,True,8,7,,,,
John,3,19,John 3:19 bible,False,4060000,4060000,True,8,8,True,8,8,,,,
John,3,20,John 3:20 bible,False,4420000,4420000,True,9,9,True,9,9,,,,
John,3,21,John 3:21 bible,False,3380000,3380000,True,8,8,True,8,8,,,,
John,3,22,John 3:22 bible,False,3690000,3690000,True,9,9,True,9,9,,,,
John,3,23,John 3:23 bible,True,315,4410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
John,3,24,John 3:24 bible,False,2160000,2160000,True,9,9,True,9,9,,,,
John,3,25,John 3:25 bible,True,133,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
