book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Jonah,1,1,Jonah 1:1 bible,False,1160000,1160000,True,7,7,True,7,7,,,,
Jonah,1,2,Jonah 1:2 bible,False,3090000,3090000,True,8,8,True,8,8,,,,
Jonah,1,3,Jonah 1:3 bible,False,1430000,1430000,True,9,9,True,9,9,,,,
Jonah,1,4,Jonah 1:4 bible,False,1110000,1110000,True,7,7,True,7,7,,,,
Jonah,1,5,Jonah 1:5 bible,False,964000,964000,True,8,8,True,8,8,,,,
Jonah,1,6,Jonah 1:6 bible,False,854000,854000,True,9,9,True,9,9,,,,
Jonah,1,7,Jonah 1:7 bible,False,794000,794000,True,8,8,True,8,8,,,,
Jonah,1,8,Jonah 1:8 bible,False,814000,814000,True,8,8,True,8,8,,,,
Jonah,1,9,Jonah 1:9 bible,False,788000,788000,True,8,8,True,8,8,,,,
Jonah,1,10,Jonah 1:10 bible,False,730000,730000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,1,11,Jonah 1:11 bible,False,706000,706000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,1,12,Jonah 1:12 bible,False,679000,679000,True,9,9,True,9,9,,,,
Jonah,1,13,Jonah 1:13 bible,False,632000,632000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,1,14,Jonah 1:14 bible,False,640000,640000,True,8,8,True,8,8,,,,
Jonah,1,15,Jonah 1:15 bible,False,618000,618000,True,8,8,True,8,8,,,,
Jonah,1,16,Jonah 1:16 bible,False,598000,598000,True,8,8,True,8,8,,,,
Jonah,1,17,Jonah 1:17 bible,False,633000,633000,True,8,8,True,8,8,,,,
Jonah,2,1,Jonah 2:1 bible,False,973000,973000,True,8,8,True,8,8,,,,
Jonah,2,2,Jonah 2:2 bible,False,656000,656000,True,9,9,True,9,9,,,,
Jonah,2,3,Jonah 2:3 bible,False,1360000,1360000,True,8,8,True,8,8,,,,
Jonah,2,4,Jonah 2:4 bible,False,757000,757000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,2,5,Jonah 2:5 bible,False,647000,647000,True,8,8,True,8,8,,,,
Jonah,2,6,Jonah 2:6 bible,False,545000,545000,True,8,8,True,8,8,,,,
Jonah,2,7,Jonah 2:7 bible,False,468000,468000,True,9,9,True,9,9,,,,
Jonah,2,8,Jonah 2:8 bible,False,627000,627000,True,8,8,True,8,8,,,,
Jonah,2,9,Jonah 2:9 bible,False,630000,630000,True,8,8,True,8,8,,,,
Jonah,2,10,Jonah 2:10 bible,False,557000,557000,True,8,8,True,8,8,,,,
Jonah,3,1,Jonah 3:1 bible,False,862000,862000,True,8,8,True,8,8,,,,
Jonah,3,2,Jonah 3:2 bible,False,554000,554000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,3,3,Jonah 3:3 bible,False,581000,581000,True,9,9,True,9,9,,,,
Jonah,3,4,Jonah 3:4 bible,False,1330000,1330000,True,9,9,True,9,9,,,,
Jonah,3,5,Jonah 3:5 bible,False,859000,859000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,3,6,Jonah 3:6 bible,False,640000,640000,True,9,9,True,9,9,,,,
Jonah,3,7,Jonah 3:7 bible,False,581000,581000,True,8,8,True,8,8,,,,
Jonah,3,8,Jonah 3:8 bible,False,547000,547000,True,8,8,True,8,8,,,,
Jonah,3,9,Jonah 3:9 bible,False,460000,460000,True,8,8,True,8,8,,,,
Jonah,3,10,Jonah 3:10 bible,False,557000,557000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,4,1,Jonah 4:1 bible,False,742000,742000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,4,2,Jonah 4:2 bible,False,537000,537000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,4,3,Jonah 4:3 bible,False,423000,423000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,4,4,Jonah 4:4 bible,False,591000,591000,True,8,8,True,8,8,,,,
Jonah,4,5,Jonah 4:5 bible,False,1060000,1060000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,4,6,Jonah 4:6 bible,False,812000,812000,True,8,8,True,8,8,,,,
Jonah,4,7,Jonah 4:7 bible,True,138,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jonah,4,8,Jonah 4:8 bible,False,641000,641000,True,9,9,True,9,9,,,,
Jonah,4,9,Jonah 4:9 bible,False,403000,403000,True,9,9,True,9,9,,,,
Jonah,4,10,Jonah 4:10 bible,False,444000,444000,True,9,9,True,9,9,,,,
Jonah,4,11,Jonah 4:11 bible,False,416000,416000,True,8,8,True,8,8,,,,
