book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Joshua,1,1,Joshua 1:1 bible,False,4590000,4590000,True,8,8,True,8,8,,,,
Joshua,1,2,Joshua 1:2 bible,False,7480000,7480000,True,8,8,True,8,8,,,,
Joshua,1,3,Joshua 1:3 bible,False,5140000,5140000,True,8,8,True,8,8,,,,
Joshua,1,4,Joshua 1:4 bible,False,4430000,4430000,True,7,7,True,7,7,,,,
Joshua,1,5,Joshua 1:5 bible,False,4430000,4430000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joshua,1,6,Joshua 1:6 bible,False,3770000,3770000,True,7,7,True,7,7,,,,
Joshua,1,7,Joshua 1:7 bible,False,3660000,3660000,True,9,9,True,9,9,,,,
Joshua,1,8,Joshua 1:8 bible,False,4010000,4010000,True,7,7,True,7,7,,,,
Joshua,1,9,Joshua 1:9 bible,False,4280000,4280000,True,7,7,True,7,7,,,,
Joshua,1,10,Joshua 1:10 bible,False,3010000,3010000,True,9,9,True,9,9,,,,
Joshua,1,11,Joshua 1:11 bible,False,2630000,2630000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joshua,1,12,Joshua 1:12 bible,False,3010000,3010000,True,8,8,True,8,8,,,,
Joshua,1,13,Joshua 1:13 bible,False,2310000,2310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joshua,1,14,Joshua 1:14 bible,False,2390000,2390000,True,8,8,True,8,8,,,,
Joshua,1,15,Joshua 1:15 bible,False,2310000,2310000,True,9,9,True,9,9,,,,
Joshua,1,16,Joshua 1:16 bible,False,2280000,2280000,True,8,8,True,8,8,,,,
Joshua,1,17,Joshua 1:17 bible,True,83,2290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joshua,1,18,Joshua 1:18 bible,False,2300000,2300000,True,9,9,True,9,9,,,,
Joshua,2,1,Joshua 2:1 bible,False,3960000,3960000,True,8,8,True,8,8,,,,
Joshua,2,2,Joshua 2:2 bible,False,2560000,2560000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joshua,2,3,Joshua 2:3 bible,False,5280000,5280000,True,8,8,True,8,8,,,,
Joshua,2,4,Joshua 2:4 bible,False,3580000,3580000,True,8,8,True,8,8,,,,
Joshua,2,5,Joshua 2:5 bible,False,2660000,2660000,True,8,8,True,8,8,,,,
Joshua,2,6,Joshua 2:6 bible,False,2300000,2300000,True,8,8,True,8,8,,,,
Joshua,2,7,Joshua 2:7 bible,False,1710000,1710000,True,8,8,True,8,8,,,,
Joshua,2,8,Joshua 2:8 bible,False,2340000,2340000,True,8,8,True,8,8,,,,
Joshua,2,9,Joshua 2:9 bible,True,139,2360000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joshua,2,10,Joshua 2:10 bible,False,2270000,2270000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
