book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Jude,1,1,Jude 1:1 bible,False,2460000,2460000,True,8,8,True,8,8,,,,
Jude,1,2,Jude 1:2 bible,False,4040000,4040000,True,8,8,True,8,8,,,,
Jude,1,3,Jude 1:3 bible,False,3080000,3080000,True,8,8,True,8,8,,,,
Jude,1,4,Jude 1:4 bible,False,2390000,2390000,True,9,9,True,9,9,,,,
Jude,1,5,Jude 1:5 bible,False,2260000,2260000,True,8,8,True,8,8,,,,
Jude,1,6,Jude 1:6 bible,False,2050000,2050000,True,8,8,True,8,8,,,,
Jude,1,7,Jude 1:7 bible,True,132,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jude,1,8,Jude 1:8 bible,False,2030000,2030000,True,8,8,True,8,8,,,,
Jude,1,9,Jude 1:9 bible,False,1800000,1800000,True,7,7,True,7,7,,,,
Jude,1,10,Jude 1:10 bible,False,1240000,1240000,True,8,8,True,8,8,,,,
Jude,1,11,Jude 1:11 bible,True,130,1270000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jude,1,12,Jude 1:12 bible,False,1210000,1210000,True,9,8,True,9,8,,,,
Jude,1,13,Jude 1:13 bible,True,141,1040000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jude,1,14,Jude 1:14 bible,False,1050000,1050000,True,8,8,True,8,8,,,,
Jude,1,15,Jude 1:15 bible,False,905000,905000,True,9,9,True,9,9,,,,
Jude,1,16,Jude 1:16 bible,False,912000,912000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jude,1,17,Jude 1:17 bible,False,874000,874000,True,8,8,True,8,8,,,,
Jude,1,18,Jude 1:18 bible,False,947000,947000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jude,1,19,Jude 1:19 bible,False,755000,755000,True,8,8,True,8,8,,,,
Jude,1,20,Jude 1:20 bible,False,968000,968000,True,8,8,True,8,8,,,,
Jude,1,21,Jude 1:21 bible,False,810000,810000,True,8,8,True,8,8,,,,
Jude,1,22,Jude 1:22 bible,False,698000,698000,True,8,8,True,8,8,,,,
Jude,1,23,Jude 1:23 bible,False,633000,633000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jude,1,24,Jude 1:24 bible,False,631000,631000,True,8,8,True,8,8,,,,
Jude,1,25,Jude 1:25 bible,False,520000,520000,True,9,9,True,9,9,,,,
