book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Judges,1,1,Judges 1:1 bible,False,3610000,3610000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,2,Judges 1:2 bible,False,5330000,5330000,True,8,8,True,8,8,,,,
Judges,1,3,Judges 1:3 bible,False,4060000,4060000,True,8,8,True,8,8,,,,
Judges,1,4,Judges 1:4 bible,False,3410000,3410000,True,8,8,True,8,8,,,,
Judges,1,5,Judges 1:5 bible,False,3270000,3270000,True,8,8,True,8,8,,,,
Judges,1,6,Judges 1:6 bible,False,2800000,2800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,7,Judges 1:7 bible,False,2500000,2500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,8,Judges 1:8 bible,True,155,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,9,Judges 1:9 bible,False,2380000,2380000,True,9,9,True,9,9,,,,
Judges,1,10,Judges 1:10 bible,False,2250000,2250000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,11,Judges 1:11 bible,False,1950000,1950000,True,9,9,True,9,9,,,,
Judges,1,12,Judges 1:12 bible,False,2220000,2220000,True,8,8,True,8,8,,,,
Judges,1,13,Judges 1:13 bible,False,1360000,1360000,True,9,9,True,9,9,,,,
Judges,1,14,Judges 1:14 bible,False,1410000,1410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,15,Judges 1:15 bible,False,1400000,1400000,True,8,8,True,8,8,,,,
Judges,1,16,Judges 1:16 bible,False,1280000,1280000,True,8,8,True,8,8,,,,
Judges,1,17,Judges 1:17 bible,False,1200000,1200000,True,9,9,True,9,9,,,,
Judges,1,18,Judges 1:18 bible,False,1310000,1310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,19,Judges 1:19 bible,False,920000,920000,True,9,9,True,9,9,,,,
Judges,1,20,Judges 1:20 bible,False,1150000,1150000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,21,Judges 1:21 bible,False,957000,957000,True,8,8,True,8,8,,,,
Judges,1,22,Judges 1:22 bible,False,800000,800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,23,Judges 1:23 bible,False,714000,714000,True,8,8,True,8,8,,,,
Judges,1,24,Judges 1:24 bible,False,682000,682000,True,8,8,True,8,8,,,,
Judges,1,25,Judges 1:25 bible,False,662000,662000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,26,Judges 1:26 bible,False,832000,832000,True,8,8,True,8,8,,,,
Judges,1,27,Judges 1:27 bible,False,777000,777000,True,9,9,True,9,9,,,,
Judges,1,28,Judges 1:28 bible,False,663000,663000,True,9,9,True,9,9,,,,
Judges,1,29,Judges 1:29 bible,False,660000,660000,True,8,8,True,8,8,,,,
Judges,1,30,Judges 1:30 bible,False,696000,696000,True,9,9,True,9,9,,,,
Judges,1,31,Judges 1:31 bible,False,502000,502000,True,8,8,True,8,8,,,,
Judges,1,32,Judges 1:32 bible,False,388000,388000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,33,Judges 1:33 bible,False,385000,385000,True,9,9,True,9,9,,,,
Judges,1,34,Judges 1:34 bible,False,354000,354000,True,9,9,True,9,9,,,,
Judges,1,35,Judges 1:35 bible,True,194,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,1,36,Judges 1:36 bible,False,284000,284000,True,8,8,True,8,8,,,,
Judges,2,1,Judges 2:1 bible,False,3090000,3090000,True,7,7,True,7,7,,,,
Judges,2,2,Judges 2:2 bible,False,1680000,1680000,True,8,8,True,8,8,,,,
Judges,2,3,Judges 2:3 bible,False,4180000,4180000,True,9,9,True,9,9,,,,
Judges,2,4,Judges 2:4 bible,False,2500000,2500000,True,7,7,True,7,7,,,,
Judges,2,5,Judges 2:5 bible,False,1910000,1910000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,2,6,Judges 2:6 bible,False,1330000,1330000,True,8,8,True,8,8,,,,
Judges,2,7,Judges 2:7 bible,True,138,1110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,2,8,Judges 2:8 bible,False,1280000,1280000,True,9,9,True,9,9,,,,
Judges,2,9,Judges 2:9 bible,False,1340000,1340000,True,9,9,True,9,9,,,,
Judges,2,10,Judges 2:10 bible,True,135,1160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,2,11,Judges 2:11 bible,False,1010000,1010000,True,7,7,True,7,7,,,,
Judges,2,12,Judges 2:12 bible,False,916000,916000,True,9,9,True,9,9,,,,
Judges,2,13,Judges 2:13 bible,False,950000,950000,True,8,8,True,8,8,,,,
Judges,2,14,Judges 2:14 bible,True,141,967000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,2,15,Judges 2:15 bible,False,1010000,1010000,True,8,8,True,8,8,,,,
Judges,2,16,Judges 2:16 bible,False,777000,777000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,2,17,Judges 2:17 bible,True,137,753000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,2,18,Judges 2:18 bible,False,697000,697000,True,8,8,True,8,8,,,,
Judges,2,19,Judges 2:19 bible,False,719000,719000,True,8,8,True,8,8,,,,
Judges,2,20,Judges 2:20 bible,False,819000,819000,True,9,8,True,9,8,,,,
Judges,2,21,Judges 2:21 bible,False,682000,682000,True,9,9,True,9,9,,,,
Judges,2,22,Judges 2:22 bible,False,645000,645000,True,9,9,True,9,9,,,,
Judges,2,23,Judges 2:23 bible,False,632000,632000,True,8,8,True,8,8,,,,
Judges,3,1,Judges 3:1 bible,False,2910000,2910000,True,7,7,True,7,7,,,,
Judges,3,2,Judges 3:2 bible,False,1350000,1350000,True,8,8,True,8,8,,,,
Judges,3,3,Judges 3:3 bible,False,1410000,1410000,True,8,8,True,8,8,,,,
Judges,3,4,Judges 3:4 bible,False,3940000,3940000,True,7,7,True,7,7,,,,
Judges,3,5,Judges 3:5 bible,False,2840000,2840000,True,8,8,True,8,8,,,,
Judges,3,6,Judges 3:6 bible,True,133,1540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,7,Judges 3:7 bible,False,1220000,1220000,True,8,8,True,8,8,,,,
Judges,3,8,Judges 3:8 bible,False,1320000,1320000,True,9,9,True,9,9,,,,
Judges,3,9,Judges 3:9 bible,False,1060000,1060000,True,8,8,True,8,8,,,,
Judges,3,10,Judges 3:10 bible,False,1080000,1080000,True,8,8,True,8,8,,,,
Judges,3,11,Judges 3:11 bible,True,139,869000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,12,Judges 3:12 bible,False,894000,894000,True,8,8,True,8,8,,,,
Judges,3,13,Judges 3:13 bible,True,135,974000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,14,Judges 3:14 bible,False,910000,910000,True,9,9,True,9,9,,,,
Judges,3,15,Judges 3:15 bible,False,1040000,1040000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,16,Judges 3:16 bible,False,2290000,2290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,17,Judges 3:17 bible,False,899000,899000,True,9,9,True,9,9,,,,
Judges,3,18,Judges 3:18 bible,False,847000,847000,True,8,8,True,8,8,,,,
Judges,3,19,Judges 3:19 bible,False,762000,762000,True,9,9,True,9,9,,,,
Judges,3,20,Judges 3:20 bible,False,791000,791000,True,9,9,True,9,9,,,,
Judges,3,21,Judges 3:21 bible,False,667000,667000,True,9,9,True,9,9,,,,
Judges,3,22,Judges 3:22 bible,False,675000,675000,True,9,9,True,9,9,,,,
Judges,3,23,Judges 3:23 bible,False,724000,724000,True,8,8,True,8,8,,,,
Judges,3,24,Judges 3:24 bible,False,427000,427000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,25,Judges 3:25 bible,False,392000,392000,True,8,8,True,8,8,,,,
Judges,3,26,Judges 3:26 bible,False,389000,389000,True,9,9,True,9,9,,,,
Judges,3,27,Judges 3:27 bible,False,388000,388000,True,9,9,True,9,9,,,,
Judges,3,28,Judges 3:28 bible,False,390000,390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,29,Judges 3:29 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,30,Judges 3:30 bible,False,393000,393000,True,9,9,True,9,9,,,,
Judges,3,31,Judges 3:31 bible,False,386000,386000,True,8,8,True,8,8,,,,
Judges,4,1,Judges 4:1 bible,False,2290000,2290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,4,2,Judges 4:2 bible,True,140,1080000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,4,3,Judges 4:3 bible,False,998000,998000,True,8,8,True,8,8,,,,
Judges,4,4,Judges 4:4 bible,False,1370000,1370000,True,8,8,True,8,8,,,,
Judges,4,5,Judges 4:5 bible,False,3530000,3530000,True,8,8,True,8,8,,,,
Judges,4,6,Judges 4:6 bible,False,2510000,2510000,True,8,8,True,8,8,,,,
Judges,4,7,Judges 4:7 bible,False,1820000,1820000,True,8,8,True,8,8,,,,
Judges,4,8,Judges 4:8 bible,False,1420000,1420000,True,9,9,True,9,9,,,,
Judges,4,9,Judges 4:9 bible,False,865000,865000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,4,10,Judges 4:10 bible,False,2520000,2520000,True,8,8,True,8,8,,,,
Judges,4,11,Judges 4:11 bible,False,866000,866000,True,9,9,True,9,9,,,,
Judges,4,12,Judges 4:12 bible,False,2730000,2730000,True,8,8,True,8,8,,,,
Judges,4,13,Judges 4:13 bible,True,141,2530000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,4,14,Judges 4:14 bible,False,758000,758000,True,9,9,True,9,9,,,,
Judges,4,15,Judges 4:15 bible,False,735000,735000,True,9,9,True,9,9,,,,
Judges,4,16,Judges 4:16 bible,False,827000,827000,True,9,9,True,9,9,,,,
Judges,4,17,Judges 4:17 bible,False,1570000,1570000,True,8,8,True,8,8,,,,
Judges,4,18,Judges 4:18 bible,False,742000,742000,True,9,9,True,9,9,,,,
