book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Lamentations,1,1,Lamentations 1:1 bible,True,134,744000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,2,Lamentations 1:2 bible,False,2330000,2330000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,3,Lamentations 1:3 bible,False,1130000,1130000,True,8,8,True,8,8,,,,
Lamentations,1,4,Lamentations 1:4 bible,False,792000,792000,True,8,8,True,8,8,,,,
Lamentations,1,5,Lamentations 1:5 bible,True,198,823000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,6,Lamentations 1:6 bible,False,753000,753000,True,9,9,True,9,9,,,,
Lamentations,1,7,Lamentations 1:7 bible,False,707000,707000,True,8,8,True,8,8,,,,
Lamentations,1,8,Lamentations 1:8 bible,False,704000,704000,True,9,9,True,9,9,,,,
Lamentations,1,9,Lamentations 1:9 bible,False,747000,747000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,10,Lamentations 1:10 bible,True,40,584000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,11,Lamentations 1:11 bible,False,576000,576000,True,8,8,True,8,8,,,,
Lamentations,1,12,Lamentations 1:12 bible,True,198,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,13,Lamentations 1:13 bible,False,455000,455000,True,9,9,True,9,9,,,,
Lamentations,1,14,Lamentations 1:14 bible,False,466000,466000,True,9,9,True,9,9,,,,
Lamentations,1,15,Lamentations 1:15 bible,False,413000,413000,True,9,9,True,9,9,,,,
Lamentations,1,16,Lamentations 1:16 bible,False,431000,431000,True,9,9,True,9,9,,,,
Lamentations,1,17,Lamentations 1:17 bible,False,487000,487000,True,9,9,True,9,9,,,,
Lamentations,1,18,Lamentations 1:18 bible,False,435000,435000,True,8,8,True,8,8,,,,
Lamentations,1,19,Lamentations 1:19 bible,False,392000,392000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,20,Lamentations 1:20 bible,False,408000,408000,True,8,8,True,8,8,,,,
Lamentations,1,21,Lamentations 1:21 bible,True,41,393000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,1,22,Lamentations 1:22 bible,False,388000,388000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,2,1,Lamentations 2:1 bible,False,660000,660000,True,9,9,True,9,9,,,,
Lamentations,2,2,Lamentations 2:2 bible,False,542000,542000,True,8,8,True,8,8,,,,
Lamentations,2,3,Lamentations 2:3 bible,False,1090000,1090000,True,9,9,True,9,9,,,,
Lamentations,2,4,Lamentations 2:4 bible,False,643000,643000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,2,5,Lamentations 2:5 bible,False,479000,479000,True,9,9,True,9,9,,,,
Lamentations,2,6,Lamentations 2:6 bible,False,450000,450000,True,9,9,True,9,9,,,,
Lamentations,2,7,Lamentations 2:7 bible,False,395000,395000,True,9,9,True,9,9,,,,
Lamentations,2,8,Lamentations 2:8 bible,False,498000,498000,True,8,8,True,8,8,,,,
Lamentations,2,9,Lamentations 2:9 bible,False,486000,486000,True,9,9,True,9,9,,,,
Lamentations,2,10,Lamentations 2:10 bible,False,453000,453000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Lamentations,2,11,Lamentations 2:11 bible,False,392000,392000,True,9,9,True,9,9,,,,
Lamentations,2,12,Lamentations 2:12 bible,False,389000,389000,True,8,8,True,8,8,,,,
Lamentations,2,13,Lamentations 2:13 bible,False,423000,423000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
