book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Leviticus,1,1,Leviticus 1:1 bible,False,1880000,1880000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,1,2,Leviticus 1:2 bible,False,3650000,3650000,True,8,8,True,8,8,,,,
Leviticus,1,3,Leviticus 1:3 bible,False,2540000,2540000,True,8,8,True,8,8,,,,
Leviticus,1,4,Leviticus 1:4 bible,False,2130000,2130000,True,7,7,True,7,7,,,,
Leviticus,1,5,Leviticus 1:5 bible,False,1800000,1800000,True,9,9,True,9,9,,,,
Leviticus,1,6,Leviticus 1:6 bible,False,1420000,1420000,True,8,8,True,8,8,,,,
Leviticus,1,7,Leviticus 1:7 bible,False,1450000,1450000,True,8,8,True,8,8,,,,
Leviticus,1,8,Leviticus 1:8 bible,True,140,1380000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,1,9,Leviticus 1:9 bible,False,1290000,1290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,1,10,Leviticus 1:10 bible,False,1040000,1040000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,1,11,Leviticus 1:11 bible,False,1020000,1020000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,1,12,Leviticus 1:12 bible,False,946000,946000,True,8,8,True,8,8,,,,
Leviticus,1,13,Leviticus 1:13 bible,False,892000,892000,True,8,8,True,8,8,,,,
Leviticus,1,14,Leviticus 1:14 bible,True,134,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,1,15,Leviticus 1:15 bible,False,840000,840000,True,9,9,True,9,9,,,,
Leviticus,1,16,Leviticus 1:16 bible,False,849000,849000,True,8,8,True,8,8,,,,
Leviticus,1,17,Leviticus 1:17 bible,False,831000,831000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,2,1,Leviticus 2:1 bible,False,1470000,1470000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,2,2,Leviticus 2:2 bible,False,904000,904000,True,8,8,True,8,8,,,,
Leviticus,2,3,Leviticus 2:3 bible,False,2380000,2380000,True,8,8,True,8,8,,,,
Leviticus,2,4,Leviticus 2:4 bible,False,1120000,1120000,True,9,9,True,9,9,,,,
Leviticus,2,5,Leviticus 2:5 bible,True,133,920000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,2,6,Leviticus 2:6 bible,False,796000,796000,True,8,8,True,8,8,,,,
Leviticus,2,7,Leviticus 2:7 bible,False,748000,748000,True,8,8,True,8,8,,,,
Leviticus,2,8,Leviticus 2:8 bible,True,132,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,2,9,Leviticus 2:9 bible,False,897000,897000,True,8,8,True,8,8,,,,
Leviticus,2,10,Leviticus 2:10 bible,False,780000,780000,True,8,8,True,8,8,,,,
Leviticus,2,11,Leviticus 2:11 bible,False,755000,755000,True,8,8,True,8,8,,,,
Leviticus,2,12,Leviticus 2:12 bible,False,702000,702000,True,9,9,True,9,9,,,,
Leviticus,2,13,Leviticus 2:13 bible,False,751000,751000,True,8,8,True,8,8,,,,
Leviticus,2,14,Leviticus 2:14 bible,False,774000,774000,True,8,8,True,8,8,,,,
Leviticus,2,15,Leviticus 2:15 bible,False,771000,771000,True,8,8,True,8,8,,,,
Leviticus,2,16,Leviticus 2:16 bible,False,661000,661000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,3,1,Leviticus 3:1 bible,False,1320000,1320000,True,8,8,True,8,8,,,,
Leviticus,3,2,Leviticus 3:2 bible,False,786000,786000,True,8,8,True,8,8,,,,
Leviticus,3,3,Leviticus 3:3 bible,True,128,808000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,3,4,Leviticus 3:4 bible,False,2480000,2480000,True,8,8,True,8,8,,,,
Leviticus,3,5,Leviticus 3:5 bible,False,1410000,1410000,True,8,8,True,8,8,,,,
Leviticus,3,6,Leviticus 3:6 bible,False,877000,877000,True,9,9,True,9,9,,,,
Leviticus,3,7,Leviticus 3:7 bible,False,788000,788000,True,9,9,True,9,9,,,,
Leviticus,3,8,Leviticus 3:8 bible,False,832000,832000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,3,9,Leviticus 3:9 bible,False,784000,784000,True,8,8,True,8,8,,,,
Leviticus,3,10,Leviticus 3:10 bible,False,792000,792000,True,8,8,True,8,8,,,,
Leviticus,3,11,Leviticus 3:11 bible,False,682000,682000,True,9,9,True,9,9,,,,
Leviticus,3,12,Leviticus 3:12 bible,False,670000,670000,True,8,8,True,8,8,,,,
Leviticus,3,13,Leviticus 3:13 bible,False,722000,722000,True,8,8,True,8,8,,,,
Leviticus,3,14,Leviticus 3:14 bible,False,710000,710000,True,9,9,True,9,9,,,,
Leviticus,3,15,Leviticus 3:15 bible,False,742000,742000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,3,16,Leviticus 3:16 bible,False,1440000,1440000,True,8,8,True,8,8,,,,
Leviticus,3,17,Leviticus 3:17 bible,False,744000,744000,True,9,9,True,9,9,,,,
Leviticus,4,1,Leviticus 4:1 bible,False,1120000,1120000,True,8,8,True,8,8,,,,
Leviticus,4,2,Leviticus 4:2 bible,False,748000,748000,True,8,8,True,8,8,,,,
Leviticus,4,3,Leviticus 4:3 bible,False,734000,734000,True,9,9,True,9,9,,,,
Leviticus,4,4,Leviticus 4:4 bible,False,859000,859000,True,9,9,True,9,9,,,,
Leviticus,4,5,Leviticus 4:5 bible,False,2000000,2000000,True,9,9,True,9,9,,,,
Leviticus,4,6,Leviticus 4:6 bible,False,1290000,1290000,True,8,8,True,8,8,,,,
Leviticus,4,7,Leviticus 4:7 bible,False,953000,953000,True,8,8,True,8,8,,,,
Leviticus,4,8,Leviticus 4:8 bible,False,890000,890000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,4,9,Leviticus 4:9 bible,False,687000,687000,True,9,9,True,9,9,,,,
Leviticus,4,10,Leviticus 4:10 bible,False,691000,691000,True,8,8,True,8,8,,,,
Leviticus,4,11,Leviticus 4:11 bible,False,677000,677000,True,8,8,True,8,8,,,,
Leviticus,4,12,Leviticus 4:12 bible,False,731000,731000,True,9,9,True,9,9,,,,
Leviticus,4,13,Leviticus 4:13 bible,True,130,706000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Leviticus,4,14,Leviticus 4:14 bible,False,634000,634000,True,8,8,True,8,8,,,,
