book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Luke,1,1,Luke 1:1 bible,False,8960000,8960000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,2,Luke 1:2 bible,True,123,13800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,3,Luke 1:3 bible,False,9570000,9570000,True,9,9,True,9,9,,,,
Luke,1,4,Luke 1:4 bible,False,7530000,7530000,True,9,9,True,9,9,,,,
Luke,1,5,Luke 1:5 bible,False,6900000,6900000,True,10,10,True,10,10,,,,
Luke,1,6,Luke 1:6 bible,False,6190000,6190000,True,8,8,True,8,8,,,,
Luke,1,7,Luke 1:7 bible,False,5740000,5740000,True,10,10,True,10,10,,,,
Luke,1,8,Luke 1:8 bible,False,6610000,6610000,True,9,9,True,9,9,,,,
Luke,1,9,Luke 1:9 bible,False,5630000,5630000,True,10,10,True,10,10,,,,
Luke,1,10,Luke 1:10 bible,False,5230000,5230000,True,9,9,True,9,9,,,,
Luke,1,11,Luke 1:11 bible,False,5050000,5050000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,12,Luke 1:12 bible,False,4840000,4840000,True,8,8,True,8,8,,,,
Luke,1,13,Luke 1:13 bible,False,4310000,4310000,True,7,7,True,7,7,,,,
Luke,1,14,Luke 1:14 bible,False,4440000,4440000,True,10,10,True,10,10,,,,
Luke,1,15,Luke 1:15 bible,False,4220000,4220000,True,9,9,True,9,9,,,,
Luke,1,16,Luke 1:16 bible,False,3900000,3900000,True,8,8,True,8,8,,,,
Luke,1,17,Luke 1:17 bible,False,3840000,3840000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,18,Luke 1:18 bible,False,4180000,4180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,19,Luke 1:19 bible,False,3130000,3130000,True,9,9,True,9,9,,,,
Luke,1,20,Luke 1:20 bible,False,3810000,3810000,True,9,8,True,9,8,,,,
Luke,1,21,Luke 1:21 bible,False,3410000,3410000,True,9,9,True,9,9,,,,
Luke,1,22,Luke 1:22 bible,False,2550000,2550000,True,9,9,True,9,9,,,,
Luke,1,23,Luke 1:23 bible,False,2420000,2420000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,24,Luke 1:24 bible,False,1970000,1970000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,25,Luke 1:25 bible,False,1540000,1540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,26,Luke 1:26 bible,False,3190000,3190000,True,8,8,True,8,8,,,,
Luke,1,27,Luke 1:27 bible,False,2370000,2370000,True,9,9,True,9,9,,,,
Luke,1,28,Luke 1:28 bible,False,1800000,1800000,True,9,9,True,9,9,,,,
Luke,1,29,Luke 1:29 bible,False,1680000,1680000,True,10,10,True,10,10,,,,
Luke,1,30,Luke 1:30 bible,True,1890000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,31,Luke 1:31 bible,False,1140000,1140000,True,9,9,True,9,9,,,,
Luke,1,32,Luke 1:32 bible,False,726000,726000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,33,Luke 1:33 bible,False,481000,481000,True,10,10,True,10,10,,,,
Luke,1,34,Luke 1:34 bible,False,454000,454000,True,10,10,True,10,10,,,,
Luke,1,35,Luke 1:35 bible,False,999000,999000,True,7,7,True,7,7,,,,
Luke,1,36,Luke 1:36 bible,False,389000,389000,True,9,9,True,9,9,,,,
Luke,1,37,Luke 1:37 bible,False,1070000,1070000,True,7,7,True,7,7,,,,
Luke,1,38,Luke 1:38 bible,False,670000,670000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,39,Luke 1:39 bible,False,493000,493000,True,9,9,True,9,9,,,,
Luke,1,40,Luke 1:40 bible,False,628000,628000,True,10,10,True,10,10,,,,
Luke,1,41,Luke 1:41 bible,False,427000,427000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,42,Luke 1:42 bible,False,393000,393000,True,9,9,True,9,9,,,,
Luke,1,43,Luke 1:43 bible,True,387000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,44,Luke 1:44 bible,False,389000,389000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,45,Luke 1:45 bible,False,644000,644000,True,8,8,True,8,8,,,,
Luke,1,46,Luke 1:46 bible,False,643000,643000,True,9,9,True,9,9,,,,
Luke,1,47,Luke 1:47 bible,False,386000,386000,True,9,9,True,9,9,,,,
Luke,1,48,Luke 1:48 bible,False,381000,381000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,49,Luke 1:49 bible,False,329000,329000,True,9,9,True,9,9,,,,
Luke,1,50,Luke 1:50 bible,False,385000,385000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,51,Luke 1:51 bible,False,347000,347000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,52,Luke 1:52 bible,False,257000,257000,True,10,10,True,10,10,,,,
Luke,1,53,Luke 1:53 bible,False,258000,258000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,54,Luke 1:54 bible,False,172000,172000,True,9,9,True,9,9,,,,
Luke,1,55,Luke 1:55 bible,False,149000,149000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Luke,1,56,Luke 1:56 bible,False,148000,148000,True,8,8,True,8,8,,,,
Luke,1,57,Luke 1:57 bible,False,236000,236000,True,9,9,True,9,9,,,,
Luke,1,58,Luke 1:58 bible,False,241000,241000,True,9,9,True,9,9,,,,
Luke,1,59,Luke 1:59 bible,False,157000,157000,True,10,10,True,10,10,,,,
Luke,1,60,Luke 1:60 bible,False,107000,107000,True,10,10,True,10,10,,,,
Luke,1,61,Luke 1:61 bible,False,79300,79300,True,10,10,True,10,10,,,,
Luke,1,62,Luke 1:62 bible,False,82500,82500,True,9,9,True,9,9,,,,
