book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Malachi,1,1,Malachi 1:1 bible,False,1060000,1060000,True,8,8,True,8,8,,,,
Malachi,1,2,Malachi 1:2 bible,False,2620000,2620000,True,8,8,True,8,8,,,,
Malachi,1,3,Malachi 1:3 bible,False,1320000,1320000,True,8,8,True,8,8,,,,
Malachi,1,4,Malachi 1:4 bible,False,990000,990000,True,8,8,True,8,8,,,,
Malachi,1,5,Malachi 1:5 bible,True,143,990000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,1,6,Malachi 1:6 bible,False,879000,879000,True,9,9,True,9,9,,,,
Malachi,1,7,Malachi 1:7 bible,False,808000,808000,True,8,8,True,8,8,,,,
Malachi,1,8,Malachi 1:8 bible,False,823000,823000,True,9,9,True,9,9,,,,
Malachi,1,9,Malachi 1:9 bible,False,771000,771000,True,9,9,True,9,9,,,,
Malachi,1,10,Malachi 1:10 bible,False,695000,695000,True,8,8,True,8,8,,,,
Malachi,1,11,Malachi 1:11 bible,True,132,697000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,1,12,Malachi 1:12 bible,False,656000,656000,True,8,8,True,8,8,,,,
Malachi,1,13,Malachi 1:13 bible,False,650000,650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,1,14,Malachi 1:14 bible,False,651000,651000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,2,1,Malachi 2:1 bible,False,837000,837000,True,9,9,True,9,9,,,,
Malachi,2,2,Malachi 2:2 bible,False,638000,638000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,2,3,Malachi 2:3 bible,False,1270000,1270000,True,8,8,True,8,8,,,,
Malachi,2,4,Malachi 2:4 bible,False,737000,737000,True,9,9,True,9,9,,,,
Malachi,2,5,Malachi 2:5 bible,False,643000,643000,True,8,8,True,8,8,,,,
Malachi,2,6,Malachi 2:6 bible,False,597000,597000,True,9,9,True,9,9,,,,
Malachi,2,7,Malachi 2:7 bible,False,572000,572000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,2,8,Malachi 2:8 bible,False,629000,629000,True,8,8,True,8,8,,,,
Malachi,2,9,Malachi 2:9 bible,False,640000,640000,True,8,7,True,8,7,,,,
Malachi,2,10,Malachi 2:10 bible,False,609000,609000,True,8,8,True,8,8,,,,
Malachi,2,11,Malachi 2:11 bible,False,535000,535000,True,8,8,True,8,8,,,,
Malachi,2,12,Malachi 2:12 bible,False,446000,446000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,2,13,Malachi 2:13 bible,False,558000,558000,True,7,7,True,7,7,,,,
Malachi,2,14,Malachi 2:14 bible,False,597000,597000,True,9,9,True,9,9,,,,
Malachi,2,15,Malachi 2:15 bible,False,603000,603000,True,9,9,True,9,9,,,,
Malachi,2,16,Malachi 2:16 bible,False,418000,418000,True,8,8,True,8,8,,,,
Malachi,2,17,Malachi 2:17 bible,False,407000,407000,True,8,8,True,8,8,,,,
Malachi,3,1,Malachi 3:1 bible,False,945000,945000,True,8,8,True,8,8,,,,
Malachi,3,2,Malachi 3:2 bible,False,618000,618000,True,8,8,True,8,8,,,,
Malachi,3,3,Malachi 3:3 bible,False,628000,628000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,3,4,Malachi 3:4 bible,False,1170000,1170000,True,8,8,True,8,8,,,,
Malachi,3,5,Malachi 3:5 bible,False,854000,854000,True,9,9,True,9,9,,,,
Malachi,3,6,Malachi 3:6 bible,False,742000,742000,True,7,7,True,7,7,,,,
Malachi,3,7,Malachi 3:7 bible,False,622000,622000,True,9,9,True,9,9,,,,
Malachi,3,8,Malachi 3:8 bible,False,646000,646000,True,7,7,True,7,7,,,,
Malachi,3,9,Malachi 3:9 bible,False,614000,614000,True,7,7,True,7,7,,,,
Malachi,3,10,Malachi 3:10 bible,False,729000,729000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,3,11,Malachi 3:11 bible,False,502000,502000,True,8,8,True,8,8,,,,
Malachi,3,12,Malachi 3:12 bible,False,491000,491000,True,8,8,True,8,8,,,,
Malachi,3,13,Malachi 3:13 bible,False,577000,577000,True,8,8,True,8,8,,,,
Malachi,3,14,Malachi 3:14 bible,False,533000,533000,True,9,9,True,9,9,,,,
Malachi,3,15,Malachi 3:15 bible,False,560000,560000,True,9,9,True,9,9,,,,
Malachi,3,16,Malachi 3:16 bible,False,888000,888000,True,8,7,True,8,7,,,,
Malachi,3,17,Malachi 3:17 bible,False,576000,576000,True,8,8,True,8,8,,,,
Malachi,3,18,Malachi 3:18 bible,False,442000,442000,True,8,8,True,8,8,,,,
Malachi,4,1,Malachi 4:1 bible,False,746000,746000,True,8,8,True,8,8,,,,
Malachi,4,2,Malachi 4:2 bible,True,135,637000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,4,3,Malachi 4:3 bible,False,473000,473000,True,8,8,True,8,8,,,,
Malachi,4,4,Malachi 4:4 bible,True,208,619000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Malachi,4,5,Malachi 4:5 bible,False,1070000,1070000,True,8,8,True,8,8,,,,
Malachi,4,6,Malachi 4:6 bible,False,875000,875000,True,9,9,True,9,9,,,,
