book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Mark,1,1,Mark 1:1 bible,False,13000000,13000000,True,10,10,True,10,10,,,,
Mark,1,2,Mark 1:2 bible,False,22700000,22700000,True,9,9,True,9,9,,,,
Mark,1,3,Mark 1:3 bible,False,13300000,13300000,True,9,9,True,9,9,,,,
Mark,1,4,Mark 1:4 bible,False,11000000,11000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Mark,1,5,Mark 1:5 bible,False,9350000,9350000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Mark,1,6,Mark 1:6 bible,False,7800000,7800000,True,9,9,True,9,9,,,,
Mark,1,7,Mark 1:7 bible,False,7010000,7010000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Mark,1,8,Mark 1:8 bible,False,7450000,7450000,True,10,10,True,10,10,,,,
Mark,1,9,Mark 1:9 bible,False,6710000,6710000,True,10,10,True,10,10,,,,
Mark,1,10,Mark 1:10 bible,False,6680000,6680000,True,10,10,True,10,10,,,,
Mark,1,11,Mark 1:11 bible,False,5950000,5950000,True,9,9,True,9,9,,,,
Mark,1,12,Mark 1:12 bible,False,6050000,6050000,True,8,8,True,8,8,,,,
Mark,1,13,Mark 1:13 bible,False,5090000,5090000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Mark,1,14,Mark 1:14 bible,False,5270000,5270000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Mark,1,15,Mark 1:15 bible,False,5410000,5410000,True,7,7,True,7,7,,,,
Mark,1,16,Mark 1:16 bible,False,4790000,4790000,True,9,9,True,9,9,,,,
Mark,1,17,Mark 1:17 bible,False,4530000,4530000,True,8,8,True,8,8,,,,
Mark,1,18,Mark 1:18 bible,True,4960000,4920000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Mark,1,19,Mark 1:19 bible,False,3730000,3730000,True,10,10,True,10,10,,,,
Mark,1,20,Mark 1:20 bible,False,4780000,4780000,True,8,8,True,8,8,,,,
