book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Nahum,1,1,Nahum 1:1 bible,False,498000,498000,True,8,8,True,8,8,,,,
Nahum,1,2,Nahum 1:2 bible,False,1180000,1180000,True,8,8,True,8,8,,,,
Nahum,1,3,Nahum 1:3 bible,False,686000,686000,True,8,8,True,8,8,,,,
Nahum,1,4,Nahum 1:4 bible,False,506000,506000,True,9,9,True,9,9,,,,
Nahum,1,5,Nahum 1:5 bible,False,481000,481000,True,9,9,True,9,9,,,,
Nahum,1,6,Nahum 1:6 bible,False,434000,434000,True,8,8,True,8,8,,,,
Nahum,1,7,Nahum 1:7 bible,False,644000,644000,True,7,7,True,7,7,,,,
Nahum,1,8,Nahum 1:8 bible,False,422000,422000,True,9,9,True,9,9,,,,
Nahum,1,9,Nahum 1:9 bible,True,130,464000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,1,10,Nahum 1:10 bible,False,388000,388000,True,9,9,True,9,9,,,,
Nahum,1,11,Nahum 1:11 bible,False,388000,388000,True,9,9,True,9,9,,,,
Nahum,1,12,Nahum 1:12 bible,False,389000,389000,True,8,8,True,8,8,,,,
Nahum,1,13,Nahum 1:13 bible,False,387000,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,1,14,Nahum 1:14 bible,False,387000,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,2,1,Nahum 2:1 bible,False,411000,411000,True,8,8,True,8,8,,,,
Nahum,2,2,Nahum 2:2 bible,False,387000,387000,True,9,9,True,9,9,,,,
Nahum,2,3,Nahum 2:3 bible,False,676000,676000,True,8,8,True,8,8,,,,
Nahum,2,4,Nahum 2:4 bible,False,391000,391000,True,9,9,True,9,9,,,,
Nahum,2,5,Nahum 2:5 bible,False,387000,387000,True,8,8,True,8,8,,,,
Nahum,2,6,Nahum 2:6 bible,False,385000,385000,True,9,9,True,9,9,,,,
Nahum,2,7,Nahum 2:7 bible,False,379000,379000,True,9,9,True,9,9,,,,
Nahum,2,8,Nahum 2:8 bible,False,386000,386000,True,9,9,True,9,9,,,,
Nahum,2,9,Nahum 2:9 bible,False,385000,385000,True,9,9,True,9,9,,,,
Nahum,2,10,Nahum 2:10 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,2,11,Nahum 2:11 bible,False,379000,379000,True,9,9,True,9,9,,,,
Nahum,2,12,Nahum 2:12 bible,False,330000,330000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,2,13,Nahum 2:13 bible,False,386000,386000,True,9,9,True,9,9,,,,
Nahum,2,14,Nahum 2:14 bible,False,655000,655000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,3,1,Nahum 3:1 bible,False,426000,426000,True,8,8,True,8,8,,,,
Nahum,3,2,Nahum 3:2 bible,False,386000,386000,True,8,8,True,8,8,,,,
Nahum,3,3,Nahum 3:3 bible,False,679000,679000,True,8,8,True,8,8,,,,
Nahum,3,4,Nahum 3:4 bible,False,672000,672000,True,8,8,True,8,8,,,,
Nahum,3,5,Nahum 3:5 bible,False,430000,430000,True,9,9,True,9,9,,,,
Nahum,3,6,Nahum 3:6 bible,False,387000,387000,True,9,9,True,9,9,,,,
Nahum,3,7,Nahum 3:7 bible,False,386000,386000,True,8,8,True,8,8,,,,
Nahum,3,8,Nahum 3:8 bible,False,386000,386000,True,9,9,True,9,9,,,,
Nahum,3,9,Nahum 3:9 bible,False,383000,383000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,3,10,Nahum 3:10 bible,True,131,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,3,11,Nahum 3:11 bible,False,374000,374000,True,8,8,True,8,8,,,,
Nahum,3,12,Nahum 3:12 bible,False,360000,360000,True,9,9,True,9,9,,,,
Nahum,3,13,Nahum 3:13 bible,False,386000,386000,True,9,9,True,9,9,,,,
Nahum,3,14,Nahum 3:14 bible,False,384000,384000,True,9,9,True,9,9,,,,
Nahum,3,15,Nahum 3:15 bible,False,383000,383000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nahum,3,16,Nahum 3:16 bible,False,396000,396000,True,9,9,True,9,9,,,,
Nahum,3,17,Nahum 3:17 bible,False,386000,386000,True,9,9,True,9,9,,,,
Nahum,3,18,Nahum 3:18 bible,False,324000,324000,True,8,8,True,8,8,,,,
Nahum,3,19,Nahum 3:19 bible,False,300000,300000,True,8,8,True,8,8,,,,
