book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Nehemiah,1,1,Nehemiah 1:1 bible,False,1010000,1010000,True,8,8,True,8,8,,,,
Nehemiah,1,2,Nehemiah 1:2 bible,False,2340000,2340000,True,8,8,True,8,8,,,,
Nehemiah,1,3,Nehemiah 1:3 bible,False,1340000,1340000,True,8,8,True,8,8,,,,
Nehemiah,1,4,Nehemiah 1:4 bible,True,134,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,1,5,Nehemiah 1:5 bible,False,974000,974000,True,8,8,True,8,8,,,,
Nehemiah,1,6,Nehemiah 1:6 bible,False,909000,909000,True,9,9,True,9,9,,,,
Nehemiah,1,7,Nehemiah 1:7 bible,False,856000,856000,True,9,9,True,9,9,,,,
Nehemiah,1,8,Nehemiah 1:8 bible,False,872000,872000,True,8,8,True,8,8,,,,
Nehemiah,1,9,Nehemiah 1:9 bible,False,832000,832000,True,9,9,True,9,9,,,,
Nehemiah,1,10,Nehemiah 1:10 bible,False,710000,710000,True,8,8,True,8,8,,,,
Nehemiah,1,11,Nehemiah 1:11 bible,False,702000,702000,True,8,8,True,8,8,,,,
Nehemiah,2,1,Nehemiah 2:1 bible,False,858000,858000,True,8,8,True,8,8,,,,
Nehemiah,2,2,Nehemiah 2:2 bible,False,657000,657000,True,9,8,True,9,8,,,,
Nehemiah,2,3,Nehemiah 2:3 bible,False,1170000,1170000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,2,4,Nehemiah 2:4 bible,False,746000,746000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,2,5,Nehemiah 2:5 bible,False,638000,638000,True,8,8,True,8,8,,,,
Nehemiah,2,6,Nehemiah 2:6 bible,False,609000,609000,True,8,8,True,8,8,,,,
Nehemiah,2,7,Nehemiah 2:7 bible,False,540000,540000,True,8,8,True,8,8,,,,
Nehemiah,2,8,Nehemiah 2:8 bible,False,641000,641000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,2,9,Nehemiah 2:9 bible,False,636000,636000,True,8,8,True,8,8,,,,
Nehemiah,2,10,Nehemiah 2:10 bible,False,611000,611000,True,9,9,True,9,9,,,,
Nehemiah,2,11,Nehemiah 2:11 bible,False,491000,491000,True,9,9,True,9,9,,,,
Nehemiah,2,12,Nehemiah 2:12 bible,False,433000,433000,True,10,9,True,10,9,,,,
Nehemiah,2,13,Nehemiah 2:13 bible,False,503000,503000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,2,14,Nehemiah 2:14 bible,False,534000,534000,True,9,9,True,9,9,,,,
Nehemiah,2,15,Nehemiah 2:15 bible,False,535000,535000,True,8,8,True,8,8,,,,
Nehemiah,2,16,Nehemiah 2:16 bible,False,391000,391000,True,8,8,True,8,8,,,,
Nehemiah,2,17,Nehemiah 2:17 bible,False,400000,400000,True,9,9,True,9,9,,,,
Nehemiah,2,18,Nehemiah 2:18 bible,False,389000,389000,True,8,8,True,8,8,,,,
Nehemiah,2,19,Nehemiah 2:19 bible,False,390000,390000,True,8,8,True,8,8,,,,
Nehemiah,2,20,Nehemiah 2:20 bible,False,402000,402000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,3,1,Nehemiah 3:1 bible,False,830000,830000,True,8,8,True,8,8,,,,
Nehemiah,3,2,Nehemiah 3:2 bible,False,597000,597000,True,8,8,True,8,8,,,,
Nehemiah,3,3,Nehemiah 3:3 bible,False,607000,607000,True,8,8,True,8,8,,,,
Nehemiah,3,4,Nehemiah 3:4 bible,False,1120000,1120000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,3,5,Nehemiah 3:5 bible,False,867000,867000,True,8,8,True,8,8,,,,
Nehemiah,3,6,Nehemiah 3:6 bible,False,635000,635000,True,8,8,True,8,8,,,,
Nehemiah,3,7,Nehemiah 3:7 bible,False,589000,589000,True,9,9,True,9,9,,,,
Nehemiah,3,8,Nehemiah 3:8 bible,False,618000,618000,True,9,9,True,9,9,,,,
Nehemiah,3,9,Nehemiah 3:9 bible,False,579000,579000,True,8,8,True,8,8,,,,
Nehemiah,3,10,Nehemiah 3:10 bible,False,583000,583000,True,8,8,True,8,8,,,,
Nehemiah,3,11,Nehemiah 3:11 bible,False,815000,815000,True,8,8,True,8,8,,,,
Nehemiah,3,12,Nehemiah 3:12 bible,False,437000,437000,True,8,8,True,8,8,,,,
