book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Numbers,1,1,Numbers 1:1 bible,False,8410000,8410000,True,8,8,True,8,8,,,,
Numbers,1,2,Numbers 1:2 bible,False,18500000,18500000,True,8,8,True,8,8,,,,
Numbers,1,3,Numbers 1:3 bible,False,8890000,8890000,True,7,7,True,7,7,,,,
Numbers,1,4,Numbers 1:4 bible,False,7400000,7400000,True,8,8,True,8,8,,,,
Numbers,1,5,Numbers 1:5 bible,False,6290000,6290000,True,9,9,True,9,9,,,,
Numbers,1,6,Numbers 1:6 bible,False,5470000,5470000,True,8,8,True,8,8,,,,
Numbers,1,7,Numbers 1:7 bible,True,128,5230000,True,9,9,True,8,8,,,,
Numbers,1,8,Numbers 1:8 bible,False,13200000,13200000,True,9,9,True,9,9,,,,
Numbers,1,9,Numbers 1:9 bible,False,5100000,5100000,True,9,9,True,9,9,,,,
Numbers,1,10,Numbers 1:10 bible,False,5170000,5170000,True,8,8,True,8,8,,,,
Numbers,1,11,Numbers 1:11 bible,False,4130000,4130000,True,9,9,True,9,9,,,,
Numbers,1,12,Numbers 1:12 bible,False,4470000,4470000,True,8,8,True,8,8,,,,
Numbers,1,13,Numbers 1:13 bible,False,3490000,3490000,True,9,9,True,9,9,,,,
Numbers,1,14,Numbers 1:14 bible,False,3610000,3610000,True,8,8,True,8,8,,,,
Numbers,1,15,Numbers 1:15 bible,True,121,3480000,True,8,8,True,8,8,,,,
Numbers,1,16,Numbers 1:16 bible,True,129,5270000,True,8,8,True,8,8,,,,
Numbers,1,17,Numbers 1:17 bible,False,5130000,5130000,True,8,8,True,8,8,,,,
Numbers,1,18,Numbers 1:18 bible,False,3030000,3030000,True,9,9,True,9,9,,,,
Numbers,1,19,Numbers 1:19 bible,False,2240000,2240000,True,8,8,True,8,8,,,,
Numbers,1,20,Numbers 1:20 bible,False,3420000,3420000,True,8,8,True,8,8,,,,
Numbers,1,21,Numbers 1:21 bible,True,123,4310000,True,9,9,True,9,9,,,,
Numbers,1,22,Numbers 1:22 bible,True,62,3550000,True,10,9,True,9,9,,,,
Numbers,1,23,Numbers 1:23 bible,False,1170000,1170000,True,9,9,True,9,9,,,,
Numbers,1,24,Numbers 1:24 bible,False,1200000,1200000,True,10,9,True,10,9,,,,
Numbers,1,25,Numbers 1:25 bible,True,118,1040000,True,9,9,True,9,9,,,,
Numbers,1,26,Numbers 1:26 bible,True,134,0,True,9,9,True,9,9,,,,
Numbers,1,27,Numbers 1:27 bible,False,1280000,1280000,True,9,9,True,9,9,,,,
Numbers,1,28,Numbers 1:28 bible,False,2740000,2740000,True,9,9,True,9,9,,,,
Numbers,1,29,Numbers 1:29 bible,False,955000,955000,True,9,9,True,9,9,,,,
Numbers,1,30,Numbers 1:30 bible,False,1750000,1750000,True,9,9,True,9,9,,,,
Numbers,1,31,Numbers 1:31 bible,False,776000,776000,True,8,8,True,8,8,,,,
Numbers,1,32,Numbers 1:32 bible,False,612000,612000,True,9,9,True,9,9,,,,
Numbers,1,33,Numbers 1:33 bible,True,116,717000,True,9,9,True,9,9,,,,
Numbers,1,34,Numbers 1:34 bible,False,675000,675000,True,9,9,True,9,9,,,,
Numbers,1,35,Numbers 1:35 bible,False,653000,653000,True,9,9,True,9,9,,,,
Numbers,1,36,Numbers 1:36 bible,False,419000,419000,True,9,9,True,9,9,,,,
Numbers,1,37,Numbers 1:37 bible,False,832000,832000,True,9,9,True,9,9,,,,
Numbers,1,38,Numbers 1:38 bible,False,661000,661000,True,9,9,True,9,9,,,,
Numbers,1,39,Numbers 1:39 bible,True,117,408000,True,9,9,True,8,8,,,,
Numbers,1,40,Numbers 1:40 bible,False,431000,431000,True,9,9,True,9,9,,,,
Numbers,1,41,Numbers 1:41 bible,True,120,645000,True,9,9,True,8,8,,,,
Numbers,1,42,Numbers 1:42 bible,False,569000,569000,True,9,9,True,9,9,,,,
Numbers,1,43,Numbers 1:43 bible,False,599000,599000,True,9,9,True,9,9,,,,
Numbers,1,44,Numbers 1:44 bible,False,428000,428000,True,9,9,True,9,9,,,,
Numbers,1,45,Numbers 1:45 bible,False,859000,859000,True,9,9,True,9,9,,,,
Numbers,1,46,Numbers 1:46 bible,False,408000,408000,True,8,8,True,8,8,,,,
Numbers,1,47,Numbers 1:47 bible,False,440000,440000,True,8,8,True,8,8,,,,
Numbers,1,48,Numbers 1:48 bible,False,441000,441000,True,9,9,True,9,9,,,,
Numbers,1,49,Numbers 1:49 bible,True,123,334000,True,9,9,True,9,9,,,,
Numbers,1,50,Numbers 1:50 bible,True,121,416000,True,9,9,True,9,9,,,,
Numbers,1,51,Numbers 1:51 bible,False,348000,348000,True,9,9,True,9,9,,,,
Numbers,1,52,Numbers 1:52 bible,False,387000,387000,True,8,8,True,8,8,,,,
Numbers,1,53,Numbers 1:53 bible,False,389000,389000,True,9,9,True,9,9,,,,
Numbers,1,54,Numbers 1:54 bible,False,340000,340000,True,8,8,True,8,8,,,,
Numbers,2,1,Numbers 2:1 bible,True,137,0,True,7,7,True,5,5,,,,
Numbers,2,2,Numbers 2:2 bible,False,4900000,4900000,True,8,8,True,8,8,,,,
Numbers,2,3,Numbers 2:3 bible,False,12600000,12600000,True,9,8,True,9,8,,,,
Numbers,2,4,Numbers 2:4 bible,False,5740000,5740000,True,8,8,True,8,8,,,,
Numbers,2,5,Numbers 2:5 bible,False,4760000,4760000,True,8,8,True,8,8,,,,
Numbers,2,6,Numbers 2:6 bible,True,131,3580000,True,8,8,True,8,8,,,,
Numbers,2,7,Numbers 2:7 bible,False,5200000,5200000,True,9,9,True,9,9,,,,
Numbers,2,8,Numbers 2:8 bible,False,5440000,5440000,True,10,9,True,10,9,,,,
Numbers,2,9,Numbers 2:9 bible,True,128,0,True,9,9,True,9,9,,,,
Numbers,2,10,Numbers 2:10 bible,False,5160000,5160000,True,9,9,True,9,9,,,,
Numbers,2,11,Numbers 2:11 bible,False,4230000,4230000,True,9,9,True,9,9,,,,
Numbers,2,12,Numbers 2:12 bible,False,4380000,4380000,True,8,8,True,8,8,,,,
Numbers,2,13,Numbers 2:13 bible,False,4060000,4060000,True,8,8,True,8,8,,,,
Numbers,2,14,Numbers 2:14 bible,False,4100000,4100000,True,9,9,True,9,9,,,,
Numbers,2,15,Numbers 2:15 bible,False,2330000,2330000,True,8,8,True,8,8,,,,
Numbers,2,16,Numbers 2:16 bible,True,132,3260000,True,9,9,True,9,9,,,,
Numbers,2,17,Numbers 2:17 bible,False,1240000,1240000,True,9,9,True,9,9,,,,
Numbers,2,18,Numbers 2:18 bible,True,141,2880000,True,9,9,True,9,9,,,,
Numbers,2,19,Numbers 2:19 bible,False,2940000,2940000,True,8,8,True,8,8,,,,
Numbers,2,20,Numbers 2:20 bible,False,3620000,3620000,True,9,9,True,9,9,,,,
Numbers,2,21,Numbers 2:21 bible,False,923000,923000,True,9,9,True,9,9,,,,
Numbers,2,22,Numbers 2:22 bible,True,60,915000,True,10,9,True,9,9,,,,
Numbers,2,23,Numbers 2:23 bible,False,2300000,2300000,True,8,8,True,8,8,,,,
Numbers,2,24,Numbers 2:24 bible,False,952000,952000,True,9,9,True,9,9,,,,
Numbers,2,25,Numbers 2:25 bible,True,131,2140000,True,9,9,True,9,9,,,,
Numbers,2,26,Numbers 2:26 bible,False,1290000,1290000,True,9,9,True,9,9,,,,
Numbers,2,27,Numbers 2:27 bible,False,895000,895000,True,9,9,True,9,9,,,,
Numbers,2,28,Numbers 2:28 bible,False,1120000,1120000,True,9,9,True,9,9,,,,
Numbers,2,29,Numbers 2:29 bible,False,647000,647000,True,9,9,True,9,9,,,,
Numbers,2,30,Numbers 2:30 bible,False,2770000,2770000,True,9,9,True,9,9,,,,
Numbers,2,31,Numbers 2:31 bible,True,129,453000,True,9,9,True,10,9,,,,
Numbers,2,32,Numbers 2:32 bible,False,576000,576000,True,9,9,True,9,9,,,,
Numbers,2,33,Numbers 2:33 bible,False,442000,442000,True,9,9,True,9,9,,,,
Numbers,2,34,Numbers 2:34 bible,False,356000,356000,True,9,9,True,9,9,,,,
Numbers,3,1,Numbers 3:1 bible,True,130,0,True,7,7,True,7,7,,,,
Numbers,3,2,Numbers 3:2 bible,False,4180000,4180000,True,8,8,True,8,8,,,,
Numbers,3,3,Numbers 3:3 bible,False,4290000,4290000,True,7,7,True,7,7,,,,
Numbers,3,4,Numbers 3:4 bible,False,10700000,10700000,True,7,7,True,7,7,,,,
Numbers,3,5,Numbers 3:5 bible,False,5950000,5950000,True,8,8,True,8,8,,,,
Numbers,3,6,Numbers 3:6 bible,False,6450000,6450000,True,9,9,True,9,9,,,,
Numbers,3,7,Numbers 3:7 bible,True,130,3490000,True,9,9,True,9,9,,,,
Numbers,3,8,Numbers 3:8 bible,False,5590000,5590000,True,8,8,True,8,8,,,,
Numbers,3,9,Numbers 3:9 bible,False,2890000,2890000,True,9,9,True,9,9,,,,
Numbers,3,10,Numbers 3:10 bible,True,134,3130000,True,9,9,True,9,9,,,,
Numbers,3,11,Numbers 3:11 bible,True,123,2220000,True,9,9,True,8,8,,,,
Numbers,3,12,Numbers 3:12 bible,True,132,2300000,True,7,7,True,9,9,,,,
Numbers,3,13,Numbers 3:13 bible,False,2400000,2400000,True,9,9,True,9,9,,,,
Numbers,3,14,Numbers 3:14 bible,False,2270000,2270000,True,9,9,True,9,9,,,,
Numbers,3,15,Numbers 3:15 bible,False,2860000,2860000,True,8,8,True,8,8,,,,
Numbers,3,16,Numbers 3:16 bible,False,4000000,4000000,True,9,9,True,9,9,,,,
Numbers,3,17,Numbers 3:17 bible,True,129,0,True,9,9,True,9,9,,,,
Numbers,3,18,Numbers 3:18 bible,False,3590000,3590000,True,8,8,True,8,8,,,,
Numbers,3,19,Numbers 3:19 bible,False,1210000,1210000,True,9,9,True,9,9,,,,
Numbers,3,20,Numbers 3:20 bible,False,1540000,1540000,True,8,8,True,8,8,,,,
Numbers,3,21,Numbers 3:21 bible,True,83,935000,True,9,9,True,9,9,,,,
Numbers,3,22,Numbers 3:22 bible,True,134,1040000,True,9,9,True,9,9,,,,
Numbers,3,23,Numbers 3:23 bible,True,132,0,True,8,7,True,8,8,,,,
Numbers,3,24,Numbers 3:24 bible,False,724000,724000,True,9,9,True,9,9,,,,
Numbers,3,25,Numbers 3:25 bible,False,678000,678000,True,9,9,True,9,9,,,,
Numbers,3,26,Numbers 3:26 bible,False,621000,621000,True,9,9,True,9,9,,,,
Numbers,3,27,Numbers 3:27 bible,False,577000,577000,True,9,9,True,9,9,,,,
Numbers,3,28,Numbers 3:28 bible,False,986000,986000,True,9,9,True,9,9,,,,
Numbers,3,29,Numbers 3:29 bible,False,716000,716000,True,9,9,True,9,9,,,,
Numbers,3,30,Numbers 3:30 bible,False,3000000,3000000,True,9,9,True,9,9,,,,
Numbers,3,31,Numbers 3:31 bible,False,441000,441000,True,8,8,True,8,8,,,,
Numbers,3,32,Numbers 3:32 bible,False,399000,399000,True,9,9,True,9,9,,,,
Numbers,3,33,Numbers 3:33 bible,True,118,0,True,8,8,True,8,8,,,,
Numbers,3,34,Numbers 3:34 bible,False,427000,427000,True,10,9,True,10,9,,,,
Numbers,3,35,Numbers 3:35 bible,True,119,0,True,9,9,True,7,7,,,,
Numbers,3,36,Numbers 3:36 bible,True,120,0,True,9,9,True,8,8,,,,
Numbers,3,37,Numbers 3:37 bible,True,140,388000,True,9,9,True,9,9,,,,
Numbers,3,38,Numbers 3:38 bible,False,418000,418000,True,9,9,True,9,9,,,,
Numbers,3,39,Numbers 3:39 bible,False,295000,295000,True,9,9,True,9,9,,,,
Numbers,3,40,Numbers 3:40 bible,True,132,386000,True,8,8,True,8,8,,,,
Numbers,3,41,Numbers 3:41 bible,False,258000,258000,True,9,9,True,9,9,,,,
Numbers,3,42,Numbers 3:42 bible,False,285000,285000,True,9,9,True,9,9,,,,
Numbers,3,43,Numbers 3:43 bible,False,246000,246000,True,9,9,True,9,9,,,,
Numbers,3,44,Numbers 3:44 bible,False,231000,231000,True,8,8,True,8,8,,,,
Numbers,3,45,Numbers 3:45 bible,False,299000,299000,True,9,9,True,9,9,,,,
Numbers,3,46,Numbers 3:46 bible,False,218000,218000,True,9,9,True,9,9,,,,
Numbers,3,47,Numbers 3:47 bible,False,263000,263000,True,9,9,True,9,9,,,,
Numbers,3,48,Numbers 3:48 bible,False,250000,250000,True,9,9,True,9,9,,,,
Numbers,3,49,Numbers 3:49 bible,False,287000,287000,True,9,9,True,9,9,,,,
Numbers,3,50,Numbers 3:50 bible,False,385000,385000,True,9,9,True,9,9,,,,
Numbers,3,51,Numbers 3:51 bible,True,129,254000,True,8,8,True,8,7,,,,
Numbers,4,1,Numbers 4:1 bible,True,134,4850000,True,8,8,True,8,8,,,,
Numbers,4,2,Numbers 4:2 bible,False,3400000,3400000,True,8,8,True,8,8,,,,
Numbers,4,3,Numbers 4:3 bible,False,3440000,3440000,True,8,8,True,8,8,,,,
Numbers,4,4,Numbers 4:4 bible,False,3690000,3690000,True,7,7,True,7,7,,,,
Numbers,4,5,Numbers 4:5 bible,False,8380000,8380000,True,8,8,True,8,8,,,,
Numbers,4,6,Numbers 4:6 bible,False,5310000,5310000,True,8,8,True,8,8,,,,
Numbers,4,7,Numbers 4:7 bible,False,4040000,4040000,True,9,9,True,9,9,,,,
Numbers,4,8,Numbers 4:8 bible,True,114,3760000,True,9,9,True,9,9,,,,
Numbers,4,9,Numbers 4:9 bible,False,2380000,2380000,True,9,9,True,9,9,,,,
Numbers,4,10,Numbers 4:10 bible,False,2510000,2510000,True,9,9,True,9,9,,,,
Numbers,4,11,Numbers 4:11 bible,False,2270000,2270000,True,9,9,True,9,9,,,,
Numbers,4,12,Numbers 4:12 bible,True,130,0,True,8,8,True,8,8,,,,
Numbers,4,13,Numbers 4:13 bible,False,2370000,2370000,True,9,9,True,9,9,,,,
Numbers,4,14,Numbers 4:14 bible,False,3270000,3270000,True,9,9,True,9,9,,,,
Numbers,4,15,Numbers 4:15 bible,False,1200000,1200000,True,9,9,True,9,9,,,,
Numbers,4,16,Numbers 4:16 bible,False,1680000,1680000,True,9,9,True,9,9,,,,
Numbers,4,17,Numbers 4:17 bible,False,1110000,1110000,True,9,9,True,9,9,,,,
Numbers,4,18,Numbers 4:18 bible,False,1190000,1190000,True,9,9,True,9,9,,,,
Numbers,4,19,Numbers 4:19 bible,False,1210000,1210000,True,9,9,True,9,9,,,,
Numbers,4,20,Numbers 4:20 bible,False,865000,865000,True,9,9,True,9,9,,,,
Numbers,4,21,Numbers 4:21 bible,False,660000,660000,True,8,8,True,8,8,,,,
Numbers,4,22,Numbers 4:22 bible,True,67,672000,True,10,9,True,9,9,,,,
Numbers,4,23,Numbers 4:23 bible,False,856000,856000,True,8,8,True,8,8,,,,
Numbers,4,24,Numbers 4:24 bible,True,129,0,True,9,9,True,9,9,,,,
Numbers,4,25,Numbers 4:25 bible,True,134,0,True,9,9,True,9,9,,,,
Numbers,4,26,Numbers 4:26 bible,False,566000,566000,True,9,9,True,9,9,,,,
Numbers,4,27,Numbers 4:27 bible,True,142,467000,True,9,9,True,9,9,,,,
Numbers,4,28,Numbers 4:28 bible,True,140,444000,True,9,9,True,9,9,,,,
Numbers,4,29,Numbers 4:29 bible,True,132,593000,True,9,9,True,9,9,,,,
Numbers,4,30,Numbers 4:30 bible,False,1220000,1220000,True,10,10,True,10,10,,,,
Numbers,4,31,Numbers 4:31 bible,False,765000,765000,True,9,9,True,9,9,,,,
Numbers,4,32,Numbers 4:32 bible,True,119,865000,True,9,9,True,9,9,,,,
Numbers,4,33,Numbers 4:33 bible,True,134,431000,True,9,9,True,9,9,,,,
Numbers,4,34,Numbers 4:34 bible,False,629000,629000,True,8,8,True,8,8,,,,
Numbers,4,35,Numbers 4:35 bible,False,644000,644000,True,9,9,True,9,9,,,,
Numbers,4,36,Numbers 4:36 bible,False,415000,415000,True,8,8,True,8,8,,,,
Numbers,4,37,Numbers 4:37 bible,False,531000,531000,True,9,9,True,9,9,,,,
Numbers,4,38,Numbers 4:38 bible,False,404000,404000,True,9,9,True,9,9,,,,
Numbers,4,39,Numbers 4:39 bible,False,431000,431000,True,9,9,True,9,9,,,,
Numbers,4,40,Numbers 4:40 bible,False,411000,411000,True,8,8,True,8,8,,,,
Numbers,4,41,Numbers 4:41 bible,False,373000,373000,True,9,9,True,9,9,,,,
Numbers,4,42,Numbers 4:42 bible,False,409000,409000,True,9,9,True,9,9,,,,
Numbers,4,43,Numbers 4:43 bible,False,411000,411000,True,9,9,True,9,9,,,,
Numbers,4,44,Numbers 4:44 bible,False,204000,204000,True,9,9,True,9,9,,,,
Numbers,4,45,Numbers 4:45 bible,False,431000,431000,True,9,9,True,9,9,,,,
Numbers,4,46,Numbers 4:46 bible,False,290000,290000,True,9,9,True,9,9,,,,
Numbers,4,47,Numbers 4:47 bible,False,241000,241000,True,9,9,True,9,9,,,,
Numbers,4,48,Numbers 4:48 bible,False,381000,381000,True,9,9,True,9,9,,,,
Numbers,4,49,Numbers 4:49 bible,True,138,218000,True,9,9,True,9,9,,,,
Numbers,5,1,Numbers 5:1 bible,False,4460000,4460000,True,8,8,True,8,8,,,,
Numbers,5,2,Numbers 5:2 bible,False,2890000,2890000,True,9,9,True,9,9,,,,
Numbers,5,3,Numbers 5:3 bible,False,2440000,2440000,True,8,8,True,8,8,,,,
Numbers,5,4,Numbers 5:4 bible,False,2420000,2420000,True,8,8,True,8,8,,,,
Numbers,5,5,Numbers 5:5 bible,False,2870000,2870000,True,8,8,True,8,8,,,,
Numbers,5,6,Numbers 5:6 bible,False,8010000,8010000,True,9,9,True,9,9,,,,
Numbers,5,7,Numbers 5:7 bible,True,129,4570000,True,8,8,True,8,8,,,,
Numbers,5,8,Numbers 5:8 bible,False,4190000,4190000,True,8,8,True,8,8,,,,
Numbers,5,9,Numbers 5:9 bible,True,140,2770000,True,9,9,True,9,8,,,,
Numbers,5,10,Numbers 5:10 bible,False,3780000,3780000,True,8,8,True,8,8,,,,
Numbers,5,11,Numbers 5:11 bible,False,2240000,2240000,True,9,9,True,9,9,,,,
Numbers,5,12,Numbers 5:12 bible,False,4060000,4060000,True,9,9,True,9,9,,,,
Numbers,5,13,Numbers 5:13 bible,False,1510000,1510000,True,9,9,True,9,9,,,,
Numbers,5,14,Numbers 5:14 bible,True,136,1810000,True,9,9,True,9,9,,,,
Numbers,5,15,Numbers 5:15 bible,True,139,1250000,True,9,9,True,9,9,,,,
Numbers,5,16,Numbers 5:16 bible,False,1850000,1850000,True,9,9,True,9,9,,,,
Numbers,5,17,Numbers 5:17 bible,False,2280000,2280000,True,9,9,True,9,9,,,,
Numbers,5,18,Numbers 5:18 bible,False,1260000,1260000,True,9,9,True,9,9,,,,
Numbers,5,19,Numbers 5:19 bible,False,2780000,2780000,True,9,9,True,9,9,,,,
Numbers,5,20,Numbers 5:20 bible,False,1010000,1010000,True,9,9,True,9,9,,,,
Numbers,5,21,Numbers 5:21 bible,True,135,1040000,True,9,9,True,9,9,,,,
Numbers,5,22,Numbers 5:22 bible,False,1180000,1180000,True,10,10,True,10,10,,,,
Numbers,5,23,Numbers 5:23 bible,True,139,716000,True,8,8,True,8,8,,,,
Numbers,5,24,Numbers 5:24 bible,False,754000,754000,True,9,9,True,9,9,,,,
Numbers,5,25,Numbers 5:25 bible,False,785000,785000,True,9,9,True,9,9,,,,
Numbers,5,26,Numbers 5:26 bible,False,582000,582000,True,9,9,True,9,9,,,,
Numbers,5,27,Numbers 5:27 bible,True,133,511000,True,8,8,True,8,8,,,,
Numbers,5,28,Numbers 5:28 bible,False,486000,486000,True,9,9,True,9,9,,,,
Numbers,5,29,Numbers 5:29 bible,False,1010000,1010000,True,9,9,True,9,9,,,,
