book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Obadiah,1,1,Obadiah 1:1 bible,False,395000,395000,True,8,8,True,8,8,,,,
Obadiah,1,2,Obadiah 1:2 bible,True,660000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,3,Obadiah 1:3 bible,True,451000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,4,Obadiah 1:4 bible,True,391000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,5,Obadiah 1:5 bible,True,391000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,6,Obadiah 1:6 bible,True,388000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,7,Obadiah 1:7 bible,True,388000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,8,Obadiah 1:8 bible,True,136,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,9,Obadiah 1:9 bible,True,387000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,10,Obadiah 1:10 bible,True,387000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,11,Obadiah 1:11 bible,True,386000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,12,Obadiah 1:12 bible,True,386000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,13,Obadiah 1:13 bible,True,386000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,14,Obadiah 1:14 bible,True,386000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,15,Obadiah 1:15 bible,True,385000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,16,Obadiah 1:16 bible,True,380000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,17,Obadiah 1:17 bible,True,387000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,18,Obadiah 1:18 bible,True,383000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,19,Obadiah 1:19 bible,True,305000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,20,Obadiah 1:20 bible,True,342000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Obadiah,1,21,Obadiah 1:21 bible,True,363000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
