book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Philemon,1,1,Philemon 1:1 bible,False,639000,639000,True,7,7,True,7,7,,,,
Philemon,1,2,Philemon 1:2 bible,False,945000,945000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Philemon,1,3,Philemon 1:3 bible,False,675000,675000,True,7,7,True,7,7,,,,
Philemon,1,4,Philemon 1:4 bible,False,627000,627000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Philemon,1,5,Philemon 1:5 bible,True,135,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Philemon,1,6,Philemon 1:6 bible,False,578000,578000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Philemon,1,7,Philemon 1:7 bible,False,505000,505000,True,8,8,True,8,8,,,,
Philemon,1,8,Philemon 1:8 bible,False,519000,519000,True,7,7,True,7,7,,,,
Philemon,1,9,Philemon 1:9 bible,False,437000,437000,True,8,8,True,8,8,,,,
Philemon,1,10,Philemon 1:10 bible,False,424000,424000,True,8,8,True,8,8,,,,
Philemon,1,11,Philemon 1:11 bible,False,407000,407000,True,10,10,True,10,10,,,,
Philemon,1,12,Philemon 1:12 bible,False,404000,404000,True,8,8,True,8,8,,,,
Philemon,1,13,Philemon 1:13 bible,False,391000,391000,True,9,9,True,9,9,,,,
Philemon,1,14,Philemon 1:14 bible,False,390000,390000,True,8,8,True,8,8,,,,
Philemon,1,15,Philemon 1:15 bible,False,389000,389000,True,8,8,True,8,8,,,,
Philemon,1,16,Philemon 1:16 bible,False,389000,389000,True,9,9,True,9,9,,,,
Philemon,1,17,Philemon 1:17 bible,False,388000,388000,True,8,8,True,8,8,,,,
Philemon,1,18,Philemon 1:18 bible,False,389000,389000,True,8,8,True,8,8,,,,
Philemon,1,19,Philemon 1:19 bible,False,386000,386000,True,9,9,True,9,9,,,,
Philemon,1,20,Philemon 1:20 bible,False,387000,387000,True,8,8,True,8,8,,,,
Philemon,1,21,Philemon 1:21 bible,False,387000,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Philemon,1,22,Philemon 1:22 bible,False,386000,386000,True,9,9,True,9,9,,,,
Philemon,1,23,Philemon 1:23 bible,False,373000,373000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Philemon,1,24,Philemon 1:24 bible,False,295000,295000,True,9,9,True,9,9,,,,
Philemon,1,25,Philemon 1:25 bible,False,313000,313000,True,9,9,True,9,9,,,,
