book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Proverbs,1,1,Proverbs 1:1 bible,False,4700000,4700000,True,8,8,True,8,8,,,,
Proverbs,1,2,Proverbs 1:2 bible,False,8090000,8090000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,3,Proverbs 1:3 bible,False,5540000,5540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,4,Proverbs 1:4 bible,False,4450000,4450000,True,8,8,True,8,8,,,,
Proverbs,1,5,Proverbs 1:5 bible,False,4570000,4570000,True,8,8,True,8,8,,,,
Proverbs,1,6,Proverbs 1:6 bible,False,4140000,4140000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,7,Proverbs 1:7 bible,False,4300000,4300000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,8,Proverbs 1:8 bible,False,4180000,4180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,9,Proverbs 1:9 bible,False,4290000,4290000,True,8,8,True,8,8,,,,
Proverbs,1,10,Proverbs 1:10 bible,False,3330000,3330000,True,9,9,True,9,9,,,,
Proverbs,1,11,Proverbs 1:11 bible,False,2800000,2800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,12,Proverbs 1:12 bible,False,3260000,3260000,True,8,8,True,8,8,,,,
Proverbs,1,13,Proverbs 1:13 bible,False,2350000,2350000,True,8,8,True,8,8,,,,
Proverbs,1,14,Proverbs 1:14 bible,False,2440000,2440000,True,8,8,True,8,8,,,,
Proverbs,1,15,Proverbs 1:15 bible,False,2230000,2230000,True,8,8,True,8,8,,,,
Proverbs,1,16,Proverbs 1:16 bible,True,43,2210000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,17,Proverbs 1:17 bible,False,2350000,2350000,True,8,8,True,8,8,,,,
Proverbs,1,18,Proverbs 1:18 bible,True,40,2130000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,19,Proverbs 1:19 bible,False,1590000,1590000,True,8,8,True,8,8,,,,
Proverbs,1,20,Proverbs 1:20 bible,False,1990000,1990000,True,8,8,True,8,8,,,,
Proverbs,1,21,Proverbs 1:21 bible,False,1450000,1450000,True,9,9,True,9,9,,,,
Proverbs,1,22,Proverbs 1:22 bible,False,1220000,1220000,True,8,8,True,8,8,,,,
Proverbs,1,23,Proverbs 1:23 bible,False,911000,911000,True,8,8,True,8,8,,,,
Proverbs,1,24,Proverbs 1:24 bible,False,800000,800000,True,9,9,True,9,9,,,,
Proverbs,1,25,Proverbs 1:25 bible,True,40,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,26,Proverbs 1:26 bible,False,1140000,1140000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,27,Proverbs 1:27 bible,False,1210000,1210000,True,8,8,True,8,8,,,,
Proverbs,1,28,Proverbs 1:28 bible,True,46,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,29,Proverbs 1:29 bible,False,772000,772000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,30,Proverbs 1:30 bible,False,753000,753000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,31,Proverbs 1:31 bible,False,655000,655000,True,8,8,True,8,8,,,,
Proverbs,1,32,Proverbs 1:32 bible,True,44,391000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,1,33,Proverbs 1:33 bible,False,388000,388000,True,7,7,True,7,7,,,,
Proverbs,2,1,Proverbs 2:1 bible,False,3900000,3900000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,2,2,Proverbs 2:2 bible,False,2530000,2530000,True,9,9,True,9,9,,,,
Proverbs,2,3,Proverbs 2:3 bible,False,5450000,5450000,True,7,7,True,7,7,,,,
Proverbs,2,4,Proverbs 2:4 bible,False,3680000,3680000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,2,5,Proverbs 2:5 bible,False,2660000,2660000,True,9,9,True,9,9,,,,
Proverbs,2,6,Proverbs 2:6 bible,False,2440000,2440000,True,7,7,True,7,7,,,,
Proverbs,2,7,Proverbs 2:7 bible,False,1580000,1580000,True,9,9,True,9,9,,,,
Proverbs,2,8,Proverbs 2:8 bible,False,2550000,2550000,True,9,8,True,9,8,,,,
Proverbs,2,9,Proverbs 2:9 bible,False,2430000,2430000,True,8,8,True,8,8,,,,
Proverbs,2,10,Proverbs 2:10 bible,True,44,2350000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,2,11,Proverbs 2:11 bible,False,1490000,1490000,True,9,9,True,9,9,,,,
Proverbs,2,12,Proverbs 2:12 bible,False,1300000,1300000,True,9,9,True,9,9,,,,
Proverbs,2,13,Proverbs 2:13 bible,False,1480000,1480000,True,8,8,True,8,8,,,,
Proverbs,2,14,Proverbs 2:14 bible,True,38,1550000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,2,15,Proverbs 2:15 bible,False,1850000,1850000,True,8,8,True,8,8,,,,
Proverbs,2,16,Proverbs 2:16 bible,False,1070000,1070000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,2,17,Proverbs 2:17 bible,True,41,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,2,18,Proverbs 2:18 bible,False,927000,927000,True,8,8,True,8,8,,,,
Proverbs,2,19,Proverbs 2:19 bible,False,881000,881000,True,8,8,True,8,8,,,,
Proverbs,2,20,Proverbs 2:20 bible,False,1230000,1230000,True,8,8,True,8,8,,,,
Proverbs,2,21,Proverbs 2:21 bible,False,840000,840000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,2,22,Proverbs 2:22 bible,False,758000,758000,True,8,8,True,8,8,,,,
Proverbs,3,1,Proverbs 3:1 bible,False,4030000,4030000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,2,Proverbs 3:2 bible,False,2100000,2100000,True,8,8,True,8,8,,,,
Proverbs,3,3,Proverbs 3:3 bible,False,2830000,2830000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,4,Proverbs 3:4 bible,False,5270000,5270000,True,8,8,True,8,8,,,,
Proverbs,3,5,Proverbs 3:5 bible,False,5860000,5860000,True,6,6,True,6,6,,,,
Proverbs,3,6,Proverbs 3:6 bible,True,43,3110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,7,Proverbs 3:7 bible,False,2290000,2290000,True,8,8,True,8,8,,,,
Proverbs,3,8,Proverbs 3:8 bible,False,2530000,2530000,True,7,7,True,7,7,,,,
Proverbs,3,9,Proverbs 3:9 bible,True,0,2270000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,10,Proverbs 3:10 bible,False,2260000,2260000,True,9,9,True,9,9,,,,
Proverbs,3,11,Proverbs 3:11 bible,False,1550000,1550000,True,7,7,True,7,7,,,,
Proverbs,3,12,Proverbs 3:12 bible,False,1700000,1700000,True,7,7,True,7,7,,,,
Proverbs,3,13,Proverbs 3:13 bible,False,2180000,2180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,14,Proverbs 3:14 bible,False,1540000,1540000,True,9,9,True,9,9,,,,
Proverbs,3,15,Proverbs 3:15 bible,False,2180000,2180000,True,7,7,True,7,7,,,,
Proverbs,3,16,Proverbs 3:16 bible,False,4420000,4420000,True,8,8,True,8,8,,,,
Proverbs,3,17,Proverbs 3:17 bible,True,139,2160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,18,Proverbs 3:18 bible,False,1510000,1510000,True,7,7,True,7,7,,,,
Proverbs,3,19,Proverbs 3:19 bible,True,139,1180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,20,Proverbs 3:20 bible,False,1510000,1510000,True,9,9,True,9,9,,,,
Proverbs,3,21,Proverbs 3:21 bible,False,840000,840000,True,7,7,True,7,7,,,,
Proverbs,3,22,Proverbs 3:22 bible,False,1160000,1160000,True,9,9,True,9,9,,,,
Proverbs,3,23,Proverbs 3:23 bible,False,1530000,1530000,True,9,9,True,9,9,,,,
Proverbs,3,24,Proverbs 3:24 bible,False,675000,675000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,25,Proverbs 3:25 bible,False,573000,573000,True,8,8,True,8,8,,,,
Proverbs,3,26,Proverbs 3:26 bible,True,20,469000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,27,Proverbs 3:27 bible,True,20,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,28,Proverbs 3:28 bible,False,411000,411000,True,8,8,True,8,8,,,,
Proverbs,3,29,Proverbs 3:29 bible,False,388000,388000,True,8,8,True,8,8,,,,
Proverbs,3,30,Proverbs 3:30 bible,False,443000,443000,True,9,9,True,9,9,,,,
Proverbs,3,31,Proverbs 3:31 bible,True,40,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,32,Proverbs 3:32 bible,False,184000,184000,True,7,7,True,7,7,,,,
Proverbs,3,33,Proverbs 3:33 bible,True,44,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,34,Proverbs 3:34 bible,False,384000,384000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,3,35,Proverbs 3:35 bible,False,303000,303000,True,9,9,True,9,9,,,,
Proverbs,4,1,Proverbs 4:1 bible,False,3280000,3280000,True,7,7,True,7,7,,,,
Proverbs,4,2,Proverbs 4:2 bible,False,1840000,1840000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,4,3,Proverbs 4:3 bible,True,41,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,4,4,Proverbs 4:4 bible,True,139,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,4,5,Proverbs 4:5 bible,False,4450000,4450000,True,8,8,True,8,8,,,,
Proverbs,4,6,Proverbs 4:6 bible,True,42,4330000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Proverbs,4,7,Proverbs 4:7 bible,False,3660000,3660000,True,7,7,True,7,7,,,,
Proverbs,4,8,Proverbs 4:8 bible,False,3430000,3430000,True,8,8,True,8,8,,,,
