book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Psalms,1,1,Psalms 1:1 bible,False,8000000,8000000,True,8,8,True,8,8,,,,
Psalms,1,2,Psalms 1:2 bible,False,8050000,8050000,True,8,8,True,8,8,,,,
Psalms,1,3,Psalms 1:3 bible,False,5470000,5470000,True,8,8,True,8,8,,,,
Psalms,1,4,Psalms 1:4 bible,True,35,4410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,1,5,Psalms 1:5 bible,False,4350000,4350000,True,8,8,True,8,8,,,,
Psalms,1,6,Psalms 1:6 bible,True,43,4120000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,2,1,Psalms 2:1 bible,False,3650000,3650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,2,2,Psalms 2:2 bible,True,39,2290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,2,3,Psalms 2:3 bible,True,41,9790000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,2,4,Psalms 2:4 bible,False,3420000,3420000,True,8,8,True,8,8,,,,
Psalms,2,5,Psalms 2:5 bible,True,65,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,2,6,Psalms 2:6 bible,False,1990000,1990000,True,8,8,True,8,8,,,,
Psalms,2,7,Psalms 2:7 bible,False,1570000,1570000,True,8,8,True,8,8,,,,
Psalms,2,8,Psalms 2:8 bible,False,2380000,2380000,True,8,8,True,8,8,,,,
Psalms,2,9,Psalms 2:9 bible,False,2240000,2240000,True,8,8,True,8,8,,,,
Psalms,2,10,Psalms 2:10 bible,False,2050000,2050000,True,8,8,True,8,8,,,,
Psalms,2,11,Psalms 2:11 bible,False,1410000,1410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,2,12,Psalms 2:12 bible,False,1330000,1330000,True,8,8,True,8,8,,,,
Psalms,3,1,Psalms 3:1 bible,False,3600000,3600000,True,8,8,True,8,8,,,,
Psalms,3,2,Psalms 3:2 bible,False,1790000,1790000,True,9,9,True,9,9,,,,
Psalms,3,3,Psalms 3:3 bible,False,2410000,2410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,3,4,Psalms 3:4 bible,False,4900000,4900000,True,8,8,True,8,8,,,,
Psalms,3,5,Psalms 3:5 bible,True,132,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,3,6,Psalms 3:6 bible,False,2450000,2450000,True,8,8,True,8,8,,,,
Psalms,3,7,Psalms 3:7 bible,False,1860000,1860000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,3,8,Psalms 3:8 bible,False,2290000,2290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,4,1,Psalms 4:1 bible,False,2880000,2880000,True,9,9,True,9,9,,,,
Psalms,4,2,Psalms 4:2 bible,False,1560000,1560000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,4,3,Psalms 4:3 bible,False,1290000,1290000,True,8,8,True,8,8,,,,
Psalms,4,4,Psalms 4:4 bible,False,2390000,2390000,True,8,8,True,8,8,,,,
Psalms,4,5,Psalms 4:5 bible,False,4340000,4340000,True,8,8,True,8,8,,,,
Psalms,4,6,Psalms 4:6 bible,False,3900000,3900000,True,9,9,True,9,9,,,,
Psalms,4,7,Psalms 4:7 bible,True,40,3220000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,4,8,Psalms 4:8 bible,False,5120000,5120000,True,7,7,True,7,7,,,,
Psalms,5,1,Psalms 5:1 bible,True,44,2770000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,5,2,Psalms 5:2 bible,False,1160000,1160000,True,8,8,True,8,8,,,,
Psalms,5,3,Psalms 5:3 bible,False,1270000,1270000,True,7,7,True,7,7,,,,
Psalms,5,4,Psalms 5:4 bible,False,1070000,1070000,True,8,8,True,8,8,,,,
Psalms,5,5,Psalms 5:5 bible,False,1210000,1210000,True,7,7,True,7,7,,,,
Psalms,5,6,Psalms 5:6 bible,False,4750000,4750000,True,8,8,True,8,8,,,,
Psalms,5,7,Psalms 5:7 bible,False,3280000,3280000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,5,8,Psalms 5:8 bible,False,3070000,3070000,True,8,8,True,8,8,,,,
Psalms,5,9,Psalms 5:9 bible,True,141,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,5,10,Psalms 5:10 bible,True,40,1460000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,5,11,Psalms 5:11 bible,False,1310000,1310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,5,12,Psalms 5:12 bible,False,3090000,3090000,True,7,7,True,7,7,,,,
Psalms,6,1,Psalms 6:1 bible,False,2330000,2330000,True,8,8,True,8,8,,,,
Psalms,6,2,Psalms 6:2 bible,True,51,1190000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,6,3,Psalms 6:3 bible,False,952000,952000,True,9,9,True,9,9,,,,
Psalms,6,4,Psalms 6:4 bible,False,1130000,1130000,True,8,8,True,8,8,,,,
Psalms,6,5,Psalms 6:5 bible,False,1050000,1050000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,6,6,Psalms 6:6 bible,False,1210000,1210000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,6,7,Psalms 6:7 bible,False,4620000,4620000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,6,8,Psalms 6:8 bible,True,140,2840000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,6,9,Psalms 6:9 bible,False,2440000,2440000,True,8,8,True,8,8,,,,
Psalms,6,10,Psalms 6:10 bible,False,1940000,1940000,True,7,7,True,7,7,,,,
Psalms,7,1,Psalms 7:1 bible,True,134,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,7,2,Psalms 7:2 bible,False,771000,771000,True,8,8,True,8,8,,,,
Psalms,7,3,Psalms 7:3 bible,True,133,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,7,4,Psalms 7:4 bible,False,636000,636000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,7,5,Psalms 7:5 bible,False,915000,915000,True,8,8,True,8,8,,,,
Psalms,7,6,Psalms 7:6 bible,False,1100000,1100000,True,9,9,True,9,9,,,,
Psalms,7,7,Psalms 7:7 bible,False,2220000,2220000,True,8,8,True,8,8,,,,
Psalms,7,8,Psalms 7:8 bible,False,4240000,4240000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,7,9,Psalms 7:9 bible,False,2260000,2260000,True,8,8,True,8,8,,,,
Psalms,7,10,Psalms 7:10 bible,False,1390000,1390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,7,11,Psalms 7:11 bible,False,1060000,1060000,True,8,8,True,8,8,,,,
Psalms,7,12,Psalms 7:12 bible,False,1010000,1010000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,7,13,Psalms 7:13 bible,False,841000,841000,True,8,8,True,8,8,,,,
Psalms,7,14,Psalms 7:14 bible,False,1300000,1300000,True,8,8,True,8,8,,,,
Psalms,7,15,Psalms 7:15 bible,False,776000,776000,True,8,8,True,8,8,,,,
Psalms,7,16,Psalms 7:16 bible,False,631000,631000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,7,17,Psalms 7:17 bible,False,631000,631000,True,8,8,True,8,8,,,,
Psalms,8,1,Psalms 8:1 bible,False,1750000,1750000,True,7,7,True,7,7,,,,
Psalms,8,2,Psalms 8:2 bible,False,903000,903000,True,8,8,True,8,8,,,,
Psalms,8,3,Psalms 8:3 bible,True,43,762000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,8,4,Psalms 8:4 bible,False,705000,705000,True,7,7,True,7,7,,,,
Psalms,8,5,Psalms 8:5 bible,False,729000,729000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,8,6,Psalms 8:6 bible,False,751000,751000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,8,7,Psalms 8:7 bible,False,1060000,1060000,True,8,8,True,8,8,,,,
Psalms,8,8,Psalms 8:8 bible,False,699000,699000,True,8,8,True,8,8,,,,
Psalms,8,9,Psalms 8:9 bible,True,37,3940000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,9,1,Psalms 9:1 bible,False,2380000,2380000,True,8,8,True,8,8,,,,
Psalms,9,2,Psalms 9:2 bible,False,1180000,1180000,True,8,8,True,8,8,,,,
Psalms,9,3,Psalms 9:3 bible,False,763000,763000,True,8,8,True,8,8,,,,
Psalms,9,4,Psalms 9:4 bible,False,2160000,2160000,True,8,8,True,8,8,,,,
Psalms,9,5,Psalms 9:5 bible,True,38,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,9,6,Psalms 9:6 bible,False,1170000,1170000,True,9,9,True,9,9,,,,
Psalms,9,7,Psalms 9:7 bible,False,1860000,1860000,True,8,8,True,8,8,,,,
Psalms,9,8,Psalms 9:8 bible,False,1790000,1790000,True,8,8,True,8,8,,,,
Psalms,9,9,Psalms 9:9 bible,False,990000,990000,True,7,7,True,7,7,,,,
Psalms,9,10,Psalms 9:10 bible,False,3970000,3970000,True,8,8,True,8,8,,,,
Psalms,9,11,Psalms 9:11 bible,False,2410000,2410000,True,8,8,True,8,8,,,,
Psalms,9,12,Psalms 9:12 bible,False,1010000,1010000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,9,13,Psalms 9:13 bible,False,2300000,2300000,True,8,8,True,8,8,,,,
Psalms,9,14,Psalms 9:14 bible,False,1400000,1400000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,9,15,Psalms 9:15 bible,False,782000,782000,True,8,8,True,8,8,,,,
Psalms,9,16,Psalms 9:16 bible,False,673000,673000,True,8,8,True,8,8,,,,
Psalms,9,17,Psalms 9:17 bible,False,623000,623000,True,8,8,True,8,8,,,,
Psalms,9,18,Psalms 9:18 bible,True,43,515000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,9,19,Psalms 9:19 bible,False,389000,389000,True,8,8,True,8,8,,,,
Psalms,9,20,Psalms 9:20 bible,False,566000,566000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,10,1,Psalms 10:1 bible,False,1360000,1360000,True,8,8,True,8,8,,,,
Psalms,10,2,Psalms 10:2 bible,False,1220000,1220000,True,9,9,True,9,9,,,,
Psalms,10,3,Psalms 10:3 bible,False,699000,699000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,10,4,Psalms 10:4 bible,False,803000,803000,True,8,8,True,8,8,,,,
Psalms,10,5,Psalms 10:5 bible,False,736000,736000,True,8,8,True,8,8,,,,
Psalms,10,6,Psalms 10:6 bible,False,613000,613000,True,9,9,True,9,9,,,,
Psalms,10,7,Psalms 10:7 bible,False,638000,638000,True,9,9,True,9,9,,,,
Psalms,10,8,Psalms 10:8 bible,False,889000,889000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,10,9,Psalms 10:9 bible,False,2290000,2290000,True,9,9,True,9,9,,,,
Psalms,10,10,Psalms 10:10 bible,False,1300000,1300000,True,8,8,True,8,8,,,,
Psalms,10,11,Psalms 10:11 bible,False,3620000,3620000,True,8,8,True,8,8,,,,
Psalms,10,12,Psalms 10:12 bible,False,2220000,2220000,True,9,8,True,9,8,,,,
Psalms,10,13,Psalms 10:13 bible,False,1430000,1430000,True,8,8,True,8,8,,,,
Psalms,10,14,Psalms 10:14 bible,False,989000,989000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,10,15,Psalms 10:15 bible,False,812000,812000,True,8,8,True,8,8,,,,
Psalms,10,16,Psalms 10:16 bible,True,40,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,10,17,Psalms 10:17 bible,False,1040000,1040000,True,8,8,True,8,8,,,,
Psalms,10,18,Psalms 10:18 bible,False,745000,745000,True,8,8,True,8,8,,,,
Psalms,11,1,Psalms 11:1 bible,False,1870000,1870000,True,8,8,True,8,8,,,,
Psalms,11,2,Psalms 11:2 bible,False,829000,829000,True,8,8,True,8,8,,,,
Psalms,11,3,Psalms 11:3 bible,True,20,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,11,4,Psalms 11:4 bible,False,671000,671000,True,8,8,True,8,8,,,,
Psalms,11,5,Psalms 11:5 bible,False,637000,637000,True,8,8,True,8,8,,,,
Psalms,11,6,Psalms 11:6 bible,False,842000,842000,True,8,8,True,8,8,,,,
Psalms,11,7,Psalms 11:7 bible,False,572000,572000,True,8,8,True,8,8,,,,
Psalms,12,1,Psalms 12:1 bible,False,2530000,2530000,True,7,7,True,7,7,,,,
Psalms,12,2,Psalms 12:2 bible,False,1980000,1980000,True,8,8,True,8,8,,,,
Psalms,12,3,Psalms 12:3 bible,False,933000,933000,True,9,9,True,9,9,,,,
Psalms,12,4,Psalms 12:4 bible,False,1060000,1060000,True,8,8,True,8,8,,,,
Psalms,12,5,Psalms 12:5 bible,False,679000,679000,True,8,8,True,8,8,,,,
Psalms,12,6,Psalms 12:6 bible,False,709000,709000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,12,7,Psalms 12:7 bible,False,773000,773000,True,8,8,True,8,8,,,,
Psalms,12,8,Psalms 12:8 bible,False,571000,571000,True,9,9,True,9,9,,,,
Psalms,13,1,Psalms 13:1 bible,False,1320000,1320000,True,7,7,True,7,7,,,,
Psalms,13,2,Psalms 13:2 bible,True,41,735000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,13,3,Psalms 13:3 bible,False,682000,682000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,13,4,Psalms 13:4 bible,False,791000,791000,True,8,8,True,8,8,,,,
Psalms,13,5,Psalms 13:5 bible,False,973000,973000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,13,6,Psalms 13:6 bible,False,595000,595000,True,9,9,True,9,9,,,,
Psalms,14,1,Psalms 14:1 bible,False,1290000,1290000,True,8,8,True,8,8,,,,
Psalms,14,2,Psalms 14:2 bible,False,756000,756000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,14,3,Psalms 14:3 bible,False,625000,625000,True,9,9,True,9,9,,,,
Psalms,14,4,Psalms 14:4 bible,False,555000,555000,True,8,8,True,8,8,,,,
Psalms,14,5,Psalms 14:5 bible,False,411000,411000,True,8,8,True,8,8,,,,
Psalms,14,6,Psalms 14:6 bible,False,1160000,1160000,True,8,8,True,8,8,,,,
Psalms,14,7,Psalms 14:7 bible,False,718000,718000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,15,1,Psalms 15:1 bible,False,1430000,1430000,True,9,9,True,9,9,,,,
Psalms,15,2,Psalms 15:2 bible,True,140,730000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,15,3,Psalms 15:3 bible,False,744000,744000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,15,4,Psalms 15:4 bible,False,740000,740000,True,8,8,True,8,8,,,,
Psalms,15,5,Psalms 15:5 bible,False,753000,753000,True,9,9,True,9,9,,,,
Psalms,16,1,Psalms 16:1 bible,False,971000,971000,True,8,8,True,8,8,,,,
Psalms,16,2,Psalms 16:2 bible,False,666000,666000,True,7,7,True,7,7,,,,
Psalms,16,3,Psalms 16:3 bible,True,39,718000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,16,4,Psalms 16:4 bible,False,426000,426000,True,9,9,True,9,9,,,,
Psalms,16,5,Psalms 16:5 bible,False,445000,445000,True,8,8,True,8,8,,,,
Psalms,16,6,Psalms 16:6 bible,False,437000,437000,True,9,8,True,9,8,,,,
Psalms,16,7,Psalms 16:7 bible,False,729000,729000,True,7,7,True,7,7,,,,
Psalms,16,8,Psalms 16:8 bible,True,137,652000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,16,9,Psalms 16:9 bible,False,718000,718000,True,8,8,True,8,8,,,,
Psalms,16,10,Psalms 16:10 bible,False,530000,530000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,16,11,Psalms 16:11 bible,True,133,732000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,17,1,Psalms 17:1 bible,False,950000,950000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,17,2,Psalms 17:2 bible,False,866000,866000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,17,3,Psalms 17:3 bible,False,689000,689000,True,8,8,True,8,8,,,,
Psalms,17,4,Psalms 17:4 bible,False,408000,408000,True,10,10,True,10,10,,,,
Psalms,17,5,Psalms 17:5 bible,False,640000,640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,17,6,Psalms 17:6 bible,False,500000,500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,17,7,Psalms 17:7 bible,False,627000,627000,True,8,8,True,8,8,,,,
Psalms,17,8,Psalms 17:8 bible,False,482000,482000,True,9,9,True,9,9,,,,
Psalms,17,9,Psalms 17:9 bible,True,140,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Psalms,17,10,Psalms 17:10 bible,False,405000,405000,True,9,9,True,9,9,,,,
Psalms,17,11,Psalms 17:11 bible,False,861000,861000,True,8,8,True,8,8,,,,
Psalms,17,12,Psalms 17:12 bible,False,593000,593000,True,9,9,True,9,9,,,,
Psalms,17,13,Psalms 17:13 bible,False,407000,407000,True,8,8,True,8,8,,,,
Psalms,17,14,Psalms 17:14 bible,False,609000,609000,True,9,9,True,9,9,,,,
Psalms,17,15,Psalms 17:15 bible,False,453000,453000,True,8,8,True,8,8,,,,
Psalms,18,1,Psalms 18:1 bible,True,20,1230000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
