book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ruth,1,1,Ruth 1:1 bible,True,132,4160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ruth,1,2,Ruth 1:2 bible,False,6040000,6040000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ruth,1,3,Ruth 1:3 bible,False,4310000,4310000,True,8,8,True,8,8,,,,
Ruth,1,4,Ruth 1:4 bible,False,3600000,3600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ruth,1,5,Ruth 1:5 bible,False,3210000,3210000,True,8,8,True,8,8,,,,
Ruth,1,6,Ruth 1:6 bible,False,2730000,2730000,True,9,9,True,9,9,,,,
Ruth,1,7,Ruth 1:7 bible,False,2410000,2410000,True,8,8,True,8,8,,,,
Ruth,1,8,Ruth 1:8 bible,False,2520000,2520000,True,9,9,True,9,9,,,,
Ruth,1,9,Ruth 1:9 bible,False,2290000,2290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ruth,1,10,Ruth 1:10 bible,False,2100000,2100000,True,9,9,True,9,9,,,,
Ruth,1,11,Ruth 1:11 bible,False,1710000,1710000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ruth,1,12,Ruth 1:12 bible,False,1860000,1860000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ruth,1,13,Ruth 1:13 bible,False,1100000,1100000,True,9,9,True,9,9,,,,
Ruth,1,14,Ruth 1:14 bible,False,1150000,1150000,True,9,9,True,9,9,,,,
Ruth,1,15,Ruth 1:15 bible,False,1160000,1160000,True,9,9,True,9,9,,,,
Ruth,1,16,Ruth 1:16 bible,False,1390000,1390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ruth,1,17,Ruth 1:17 bible,False,1070000,1070000,True,9,9,True,9,9,,,,
