book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Song of Solomon,1,1,Song of Solomon 1:1 bible,False,1330000,1330000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,2,Song of Solomon 1:2 bible,True,139,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,3,Song of Solomon 1:3 bible,False,1800000,1800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,4,Song of Solomon 1:4 bible,True,40,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,5,Song of Solomon 1:5 bible,True,40,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,6,Song of Solomon 1:6 bible,True,43,1080000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,7,Song of Solomon 1:7 bible,True,39,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,8,Song of Solomon 1:8 bible,False,1010000,1010000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,9,Song of Solomon 1:9 bible,False,925000,925000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,10,Song of Solomon 1:10 bible,False,837000,837000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,11,Song of Solomon 1:11 bible,False,790000,790000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,12,Song of Solomon 1:12 bible,True,39,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,13,Song of Solomon 1:13 bible,True,42,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,14,Song of Solomon 1:14 bible,True,41,740000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,15,Song of Solomon 1:15 bible,False,684000,684000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,16,Song of Solomon 1:16 bible,False,702000,702000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,1,17,Song of Solomon 1:17 bible,False,693000,693000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,1,Song of Solomon 2:1 bible,False,1110000,1110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,2,Song of Solomon 2:2 bible,False,772000,772000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,3,Song of Solomon 2:3 bible,False,2080000,2080000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,4,Song of Solomon 2:4 bible,True,41,943000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,5,Song of Solomon 2:5 bible,False,786000,786000,True,9,9,True,9,9,,,,
Song of Solomon,2,6,Song of Solomon 2:6 bible,False,709000,709000,True,9,9,True,9,9,,,,
Song of Solomon,2,7,Song of Solomon 2:7 bible,False,681000,681000,True,9,9,True,9,9,,,,
Song of Solomon,2,8,Song of Solomon 2:8 bible,True,140,724000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,9,Song of Solomon 2:9 bible,False,747000,747000,True,9,9,True,9,9,,,,
Song of Solomon,2,10,Song of Solomon 2:10 bible,False,698000,698000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,11,Song of Solomon 2:11 bible,False,638000,638000,True,8,8,True,8,8,,,,
Song of Solomon,2,12,Song of Solomon 2:12 bible,False,582000,582000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,13,Song of Solomon 2:13 bible,False,627000,627000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,14,Song of Solomon 2:14 bible,False,643000,643000,True,9,9,True,9,9,,,,
Song of Solomon,2,15,Song of Solomon 2:15 bible,False,655000,655000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,2,16,Song of Solomon 2:16 bible,False,505000,505000,True,8,8,True,8,8,,,,
Song of Solomon,2,17,Song of Solomon 2:17 bible,False,447000,447000,True,8,8,True,8,8,,,,
Song of Solomon,3,1,Song of Solomon 3:1 bible,False,1060000,1060000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,3,2,Song of Solomon 3:2 bible,False,714000,714000,True,8,8,True,8,8,,,,
Song of Solomon,3,3,Song of Solomon 3:3 bible,False,741000,741000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,3,4,Song of Solomon 3:4 bible,False,2250000,2250000,True,8,8,True,8,8,,,,
Song of Solomon,3,5,Song of Solomon 3:5 bible,False,1160000,1160000,True,8,8,True,8,8,,,,
Song of Solomon,3,6,Song of Solomon 3:6 bible,False,758000,758000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,3,7,Song of Solomon 3:7 bible,False,704000,704000,True,9,9,True,9,9,,,,
Song of Solomon,3,8,Song of Solomon 3:8 bible,False,699000,699000,True,9,9,True,9,9,,,,
Song of Solomon,3,9,Song of Solomon 3:9 bible,False,662000,662000,True,9,9,True,9,9,,,,
Song of Solomon,3,10,Song of Solomon 3:10 bible,False,673000,673000,True,8,8,True,8,8,,,,
Song of Solomon,3,11,Song of Solomon 3:11 bible,False,612000,612000,True,8,8,True,8,8,,,,
Song of Solomon,4,1,Song of Solomon 4:1 bible,False,854000,854000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,4,2,Song of Solomon 4:2 bible,False,672000,672000,True,9,9,True,9,9,,,,
Song of Solomon,4,3,Song of Solomon 4:3 bible,False,650000,650000,True,9,9,True,9,9,,,,
Song of Solomon,4,4,Song of Solomon 4:4 bible,True,138,730000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,4,5,Song of Solomon 4:5 bible,False,1400000,1400000,True,8,8,True,8,8,,,,
Song of Solomon,4,6,Song of Solomon 4:6 bible,False,1030000,1030000,True,9,9,True,9,9,,,,
Song of Solomon,4,7,Song of Solomon 4:7 bible,True,125,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,4,8,Song of Solomon 4:8 bible,False,807000,807000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,4,9,Song of Solomon 4:9 bible,False,640000,640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,4,10,Song of Solomon 4:10 bible,False,629000,629000,True,8,8,True,8,8,,,,
Song of Solomon,4,11,Song of Solomon 4:11 bible,False,580000,580000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,4,12,Song of Solomon 4:12 bible,False,660000,660000,True,8,8,True,8,8,,,,
Song of Solomon,4,13,Song of Solomon 4:13 bible,False,660000,660000,True,9,9,True,9,9,,,,
Song of Solomon,4,14,Song of Solomon 4:14 bible,False,455000,455000,True,9,9,True,9,9,,,,
Song of Solomon,4,15,Song of Solomon 4:15 bible,False,424000,424000,True,9,9,True,9,9,,,,
Song of Solomon,4,16,Song of Solomon 4:16 bible,False,620000,620000,True,8,8,True,8,8,,,,
Song of Solomon,5,1,Song of Solomon 5:1 bible,True,43,844000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,5,2,Song of Solomon 5:2 bible,False,640000,640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Song of Solomon,5,3,Song of Solomon 5:3 bible,False,601000,601000,True,9,9,True,9,9,,,,
Song of Solomon,5,4,Song of Solomon 5:4 bible,False,495000,495000,True,8,8,True,8,8,,,,
Song of Solomon,5,5,Song of Solomon 5:5 bible,False,595000,595000,True,8,8,True,8,8,,,,
Song of Solomon,5,6,Song of Solomon 5:6 bible,False,1400000,1400000,True,8,8,True,8,8,,,,
Song of Solomon,5,7,Song of Solomon 5:7 bible,False,855000,855000,True,9,9,True,9,9,,,,
Song of Solomon,5,8,Song of Solomon 5:8 bible,False,830000,830000,True,8,8,True,8,8,,,,
Song of Solomon,5,9,Song of Solomon 5:9 bible,False,636000,636000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
