book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Titus,1,1,Titus 1:1 bible,False,2780000,2780000,True,9,9,True,9,9,,,,
Titus,1,2,Titus 1:2 bible,False,4190000,4190000,True,9,9,True,9,9,,,,
Titus,1,3,Titus 1:3 bible,False,3230000,3230000,True,8,8,True,8,8,,,,
Titus,1,4,Titus 1:4 bible,False,2750000,2750000,True,8,8,True,8,8,,,,
Titus,1,5,Titus 1:5 bible,False,2640000,2640000,True,9,9,True,9,9,,,,
Titus,1,6,Titus 1:6 bible,False,2250000,2250000,True,8,8,True,8,8,,,,
Titus,1,7,Titus 1:7 bible,False,2270000,2270000,True,8,8,True,8,8,,,,
Titus,1,8,Titus 1:8 bible,False,2260000,2260000,True,8,8,True,8,8,,,,
Titus,1,9,Titus 1:9 bible,False,2070000,2070000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,1,10,Titus 1:10 bible,False,1540000,1540000,True,9,9,True,9,9,,,,
Titus,1,11,Titus 1:11 bible,False,1300000,1300000,True,8,8,True,8,8,,,,
Titus,1,12,Titus 1:12 bible,False,1410000,1410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,1,13,Titus 1:13 bible,False,1280000,1280000,True,9,9,True,9,9,,,,
Titus,1,14,Titus 1:14 bible,False,1220000,1220000,True,8,8,True,8,8,,,,
Titus,1,15,Titus 1:15 bible,False,1160000,1160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,1,16,Titus 1:16 bible,False,1120000,1120000,True,7,7,True,7,7,,,,
Titus,2,1,Titus 2:1 bible,False,2350000,2350000,True,8,8,True,8,8,,,,
Titus,2,2,Titus 2:2 bible,False,1320000,1320000,True,8,8,True,8,8,,,,
Titus,2,3,Titus 2:3 bible,False,3260000,3260000,True,8,8,True,8,8,,,,
Titus,2,4,Titus 2:4 bible,False,1940000,1940000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,2,5,Titus 2:5 bible,False,1380000,1380000,True,7,7,True,7,7,,,,
Titus,2,6,Titus 2:6 bible,False,1040000,1040000,True,8,8,True,8,8,,,,
Titus,2,7,Titus 2:7 bible,False,965000,965000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,2,8,Titus 2:8 bible,False,1400000,1400000,True,9,9,True,9,9,,,,
Titus,2,9,Titus 2:9 bible,False,1200000,1200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,2,10,Titus 2:10 bible,False,1040000,1040000,True,8,8,True,8,8,,,,
Titus,2,11,Titus 2:11 bible,False,1290000,1290000,True,7,7,True,7,7,,,,
Titus,2,12,Titus 2:12 bible,False,940000,940000,True,8,8,True,8,8,,,,
Titus,2,13,Titus 2:13 bible,False,1210000,1210000,True,9,9,True,9,9,,,,
Titus,2,14,Titus 2:14 bible,False,1030000,1030000,True,8,8,True,8,8,,,,
Titus,2,15,Titus 2:15 bible,False,970000,970000,True,8,8,True,8,8,,,,
Titus,3,1,Titus 3:1 bible,False,2430000,2430000,True,8,8,True,8,8,,,,
Titus,3,2,Titus 3:2 bible,False,1130000,1130000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,3,3,Titus 3:3 bible,False,1160000,1160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,3,4,Titus 3:4 bible,False,3250000,3250000,True,8,8,True,8,8,,,,
Titus,3,5,Titus 3:5 bible,False,2790000,2790000,True,8,8,True,8,8,,,,
Titus,3,6,Titus 3:6 bible,False,1190000,1190000,True,8,8,True,8,8,,,,
Titus,3,7,Titus 3:7 bible,False,1050000,1050000,True,8,8,True,8,8,,,,
Titus,3,8,Titus 3:8 bible,False,1110000,1110000,True,8,8,True,8,8,,,,
Titus,3,9,Titus 3:9 bible,False,988000,988000,True,8,8,True,8,8,,,,
Titus,3,10,Titus 3:10 bible,False,1030000,1030000,True,6,6,True,6,6,,,,
Titus,3,11,Titus 3:11 bible,False,825000,825000,True,9,9,True,9,9,,,,
Titus,3,12,Titus 3:12 bible,False,893000,893000,True,8,8,True,8,8,,,,
Titus,3,13,Titus 3:13 bible,False,855000,855000,True,8,8,True,8,8,,,,
Titus,3,14,Titus 3:14 bible,False,888000,888000,True,8,8,True,8,8,,,,
Titus,3,15,Titus 3:15 bible,False,940000,940000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
