book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Zechariah,1,1,Zechariah 1:1 bible,False,1200000,1200000,True,8,8,True,8,8,,,,
Zechariah,1,2,Zechariah 1:2 bible,False,2990000,2990000,True,8,8,True,8,8,,,,
Zechariah,1,3,Zechariah 1:3 bible,False,1610000,1610000,True,8,8,True,8,8,,,,
Zechariah,1,4,Zechariah 1:4 bible,False,1210000,1210000,True,8,8,True,8,8,,,,
Zechariah,1,5,Zechariah 1:5 bible,True,140,1180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zechariah,1,6,Zechariah 1:6 bible,False,1090000,1090000,True,8,8,True,8,8,,,,
Zechariah,1,7,Zechariah 1:7 bible,False,1010000,1010000,True,8,8,True,8,8,,,,
Zechariah,1,8,Zechariah 1:8 bible,False,1010000,1010000,True,9,9,True,9,9,,,,
Zechariah,1,9,Zechariah 1:9 bible,False,912000,912000,True,9,9,True,9,9,,,,
Zechariah,1,10,Zechariah 1:10 bible,False,796000,796000,True,9,9,True,9,9,,,,
Zechariah,1,11,Zechariah 1:11 bible,False,825000,825000,True,8,8,True,8,8,,,,
Zechariah,1,12,Zechariah 1:12 bible,False,762000,762000,True,9,9,True,9,9,,,,
Zechariah,1,13,Zechariah 1:13 bible,False,733000,733000,True,8,8,True,8,8,,,,
Zechariah,1,14,Zechariah 1:14 bible,False,746000,746000,True,8,8,True,8,8,,,,
Zechariah,1,15,Zechariah 1:15 bible,False,656000,656000,True,9,9,True,9,9,,,,
Zechariah,1,16,Zechariah 1:16 bible,False,651000,651000,True,9,9,True,9,9,,,,
Zechariah,1,17,Zechariah 1:17 bible,False,684000,684000,True,8,8,True,8,8,,,,
Zechariah,1,18,Zechariah 1:18 bible,True,205,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zechariah,1,19,Zechariah 1:19 bible,False,591000,591000,True,9,9,True,9,9,,,,
Zechariah,1,20,Zechariah 1:20 bible,False,629000,629000,True,9,9,True,9,9,,,,
Zechariah,1,21,Zechariah 1:21 bible,False,616000,616000,True,9,9,True,9,9,,,,
Zechariah,2,1,Zechariah 2:1 bible,True,141,1040000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zechariah,2,2,Zechariah 2:2 bible,False,693000,693000,True,8,8,True,8,8,,,,
Zechariah,2,3,Zechariah 2:3 bible,False,1440000,1440000,True,8,8,True,8,8,,,,
Zechariah,2,4,Zechariah 2:4 bible,False,851000,851000,True,9,9,True,9,9,,,,
Zechariah,2,5,Zechariah 2:5 bible,False,736000,736000,True,9,9,True,9,9,,,,
Zechariah,2,6,Zechariah 2:6 bible,False,657000,657000,True,9,9,True,9,9,,,,
Zechariah,2,7,Zechariah 2:7 bible,False,621000,621000,True,9,9,True,9,9,,,,
Zechariah,2,8,Zechariah 2:8 bible,False,696000,696000,True,8,8,True,8,8,,,,
Zechariah,2,9,Zechariah 2:9 bible,False,711000,711000,True,9,9,True,9,9,,,,
Zechariah,2,10,Zechariah 2:10 bible,False,657000,657000,True,8,8,True,8,8,,,,
Zechariah,2,11,Zechariah 2:11 bible,True,139,622000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zechariah,2,12,Zechariah 2:12 bible,False,545000,545000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zechariah,2,13,Zechariah 2:13 bible,False,626000,626000,True,8,8,True,8,8,,,,
Zechariah,3,1,Zechariah 3:1 bible,False,1020000,1020000,True,8,8,True,8,8,,,,
Zechariah,3,2,Zechariah 3:2 bible,False,646000,646000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zechariah,3,3,Zechariah 3:3 bible,False,651000,651000,True,8,8,True,8,8,,,,
Zechariah,3,4,Zechariah 3:4 bible,False,1360000,1360000,True,8,8,True,8,8,,,,
Zechariah,3,5,Zechariah 3:5 bible,False,936000,936000,True,8,8,True,8,8,,,,
Zechariah,3,6,Zechariah 3:6 bible,False,679000,679000,True,8,8,True,8,8,,,,
Zechariah,3,7,Zechariah 3:7 bible,False,645000,645000,True,9,9,True,9,9,,,,
Zechariah,3,8,Zechariah 3:8 bible,True,203,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zechariah,3,9,Zechariah 3:9 bible,True,140,614000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
