book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Zephaniah,1,1,Zephaniah 1:1 bible,False,452000,452000,True,8,8,True,8,8,,,,
Zephaniah,1,2,Zephaniah 1:2 bible,False,812000,812000,True,8,8,True,8,8,,,,
Zephaniah,1,3,Zephaniah 1:3 bible,False,626000,626000,True,8,8,True,8,8,,,,
Zephaniah,1,4,Zephaniah 1:4 bible,False,463000,463000,True,9,9,True,9,9,,,,
Zephaniah,1,5,Zephaniah 1:5 bible,False,459000,459000,True,9,9,True,9,9,,,,
Zephaniah,1,6,Zephaniah 1:6 bible,False,423000,423000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,1,7,Zephaniah 1:7 bible,True,141,430000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,1,8,Zephaniah 1:8 bible,False,413000,413000,True,9,9,True,9,9,,,,
Zephaniah,1,9,Zephaniah 1:9 bible,False,411000,411000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,1,10,Zephaniah 1:10 bible,False,389000,389000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,1,11,Zephaniah 1:11 bible,False,389000,389000,True,9,9,True,9,9,,,,
Zephaniah,1,12,Zephaniah 1:12 bible,False,389000,389000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,1,13,Zephaniah 1:13 bible,True,138,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,1,14,Zephaniah 1:14 bible,False,388000,388000,True,8,8,True,8,8,,,,
Zephaniah,1,15,Zephaniah 1:15 bible,False,386000,386000,True,9,9,True,9,9,,,,
Zephaniah,1,16,Zephaniah 1:16 bible,False,387000,387000,True,9,9,True,9,9,,,,
Zephaniah,1,17,Zephaniah 1:17 bible,False,387000,387000,True,9,9,True,9,9,,,,
Zephaniah,1,18,Zephaniah 1:18 bible,False,387000,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,2,1,Zephaniah 2:1 bible,False,408000,408000,True,8,8,True,8,8,,,,
Zephaniah,2,2,Zephaniah 2:2 bible,False,387000,387000,True,8,8,True,8,8,,,,
Zephaniah,2,3,Zephaniah 2:3 bible,False,623000,623000,True,8,8,True,8,8,,,,
Zephaniah,2,4,Zephaniah 2:4 bible,False,394000,394000,True,8,8,True,8,8,,,,
Zephaniah,2,5,Zephaniah 2:5 bible,True,139,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,2,6,Zephaniah 2:6 bible,False,387000,387000,True,9,9,True,9,9,,,,
Zephaniah,2,7,Zephaniah 2:7 bible,False,386000,386000,True,9,9,True,9,9,,,,
Zephaniah,2,8,Zephaniah 2:8 bible,False,387000,387000,True,9,9,True,9,9,,,,
Zephaniah,2,9,Zephaniah 2:9 bible,False,388000,388000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,2,10,Zephaniah 2:10 bible,False,387000,387000,True,9,9,True,9,9,,,,
Zephaniah,2,11,Zephaniah 2:11 bible,False,386000,386000,True,9,9,True,9,9,,,,
Zephaniah,2,12,Zephaniah 2:12 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,2,13,Zephaniah 2:13 bible,False,386000,386000,True,9,9,True,9,9,,,,
Zephaniah,2,14,Zephaniah 2:14 bible,False,386000,386000,True,9,9,True,9,9,,,,
Zephaniah,2,15,Zephaniah 2:15 bible,False,386000,386000,True,9,9,True,9,9,,,,
Zephaniah,3,1,Zephaniah 3:1 bible,False,429000,429000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,2,Zephaniah 3:2 bible,False,386000,386000,True,8,8,True,8,8,,,,
Zephaniah,3,3,Zephaniah 3:3 bible,False,387000,387000,True,8,8,True,8,8,,,,
Zephaniah,3,4,Zephaniah 3:4 bible,False,613000,613000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,5,Zephaniah 3:5 bible,False,422000,422000,True,9,9,True,9,9,,,,
Zephaniah,3,6,Zephaniah 3:6 bible,False,387000,387000,True,8,8,True,8,8,,,,
Zephaniah,3,7,Zephaniah 3:7 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,8,Zephaniah 3:8 bible,True,208,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,9,Zephaniah 3:9 bible,False,387000,387000,True,8,8,True,8,8,,,,
Zephaniah,3,10,Zephaniah 3:10 bible,False,387000,387000,True,9,9,True,9,9,,,,
Zephaniah,3,11,Zephaniah 3:11 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,12,Zephaniah 3:12 bible,False,386000,386000,True,9,9,True,9,9,,,,
Zephaniah,3,13,Zephaniah 3:13 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,14,Zephaniah 3:14 bible,False,387000,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,15,Zephaniah 3:15 bible,False,386000,386000,True,8,8,True,8,8,,,,
Zephaniah,3,16,Zephaniah 3:16 bible,False,429000,429000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Zephaniah,3,17,Zephaniah 3:17 bible,False,541000,541000,True,8,8,True,8,8,,,,
Zephaniah,3,18,Zephaniah 3:18 bible,False,386000,386000,True,9,9,True,9,9,,,,
