book,chapter,verse,raw_hit_count,ordinal_rank,verse_text
Proverbs,29,27,86700,1,An unjust man is an abomination to the just: and he that is upright in the way is abomination to the wicked.
Proverbs,29,21,93200,2,He that delicately bringeth up his servant from a child shall have him become his son at the length.
Proverbs,30,29,97900,3,"There be three things which go well, yea, four are comely in going:"
Proverbs,31,22,99900,4,She maketh herself coverings of tapestry; her clothing is silk and purple.
Proverbs,30,23,102000,5,For an odious woman when she is married; and an handmaid that is heir to her mistress.
Proverbs,30,28,103000,6,"The spider taketh hold with her hands, and is in kings’ palaces."
Proverbs,14,35,108000,7,The king’s favour is toward a wise servant: but his wrath is against him that causeth shame.
Proverbs,30,26,108000,8,"The conies are but a feeble folk, yet make they their houses in the rocks;"
Proverbs,31,21,108000,9,She is not afraid of the snow for her household: for all her household are clothed with scarlet.
Proverbs,29,24,112000,10,"Whoso is partner with a thief hateth his own soul: he heareth cursing, and bewrayeth it not."
Proverbs,30,24,121000,11,"There be four things which are little upon the earth, but they are exceeding wise:"
Proverbs,30,25,121000,12,"The ants are a people not strong, yet they prepare their meat in the summer;"
Proverbs,28,24,128000,13,"Whoso robbeth his father or his mother, and saith, It is no transgression; the same is the companion of a destroyer."
Proverbs,30,27,132000,14,"The locusts have no king, yet go they forth all of them by bands;"
Proverbs,27,21,133000,15,"As the fining pot for silver, and the furnace for gold; so is a man to his praise."
Proverbs,30,14,137000,16,"There is a generation, whose teeth are as swords, and their jaw teeth as knives, to devour the poor from off the earth, and the needy from among men."
Proverbs,30,22,142000,17,For a servant when he reigneth; and a fool when he is filled with meat;
Proverbs,26,23,144000,18,Burning lips and a wicked heart are like a potsherd covered with silver dross.
Proverbs,24,18,145000,19,"Lest the LORD see it, and it displease him, and he turn away his wrath from him."
Proverbs,27,24,145000,20,For riches are not for ever: and doth the crown endure to every generation?
Proverbs,29,19,149000,21,A servant will not be corrected by words: for though he understand he will not answer.
Proverbs,28,22,150000,22,"He that hasteth to be rich hath an evil eye, and considereth not that poverty shall come upon him."
Proverbs,27,22,152000,23,"Though thou shouldest bray a fool in a mortar among wheat with a pestle, yet will not his foolishness depart from him."
Proverbs,27,20,153000,24,Hell and destruction are never full; so the eyes of man are never satisfied.
Proverbs,30,16,153000,25,"The grave; and the barren womb; the earth that is not filled with water; and the fire that saith not, It is enough."
Proverbs,31,23,155000,26,"Her husband is known in the gates, when he sitteth among the elders of the land."
Proverbs,29,6,158000,27,In the transgression of an evil man there is a snare: but the righteous doth sing and rejoice.
Proverbs,26,22,159000,28,"The words of a talebearer are as wounds, and they go down into the innermost parts of the belly."
Proverbs,25,19,162000,29,"Confidence in an unfaithful man in time of trouble is like a broken tooth, and a foot out of joint."
Proverbs,29,20,162000,30,Seest thou a man that is hasty in his words? there is more hope of a fool than of him.
Proverbs,29,14,167000,31,"The king that faithfully judgeth the poor, his throne shall be established for ever."
Proverbs,25,17,168000,32,"Withdraw thy foot from thy neighbour’s house; lest he be weary of thee, and so hate thee."
Proverbs,30,13,168000,33,"There is a generation, O how lofty are their eyes! and their eyelids are lifted up."
Proverbs,29,17,169000,34,"Correct thy son, and he shall give thee rest; yea, he shall give delight unto thy soul."
Proverbs,29,9,170000,35,"If a wise man contendeth with a foolish man, whether he rage or laugh, there is no rest."
Proverbs,29,5,171000,36,A man that flattereth his neighbour spreadeth a net for his feet.
Proverbs,27,25,173000,37,"The hay appeareth, and the tender grass sheweth itself, and herbs of the mountains are gathered."
Proverbs,29,16,173000,38,"When the wicked are multiplied, transgression increaseth: but the righteous shall see their fall."
Proverbs,26,25,174000,39,"When he speaketh fair, believe him not: for there are seven abominations in his heart."
Proverbs,31,19,176000,40,"She layeth her hands to the spindle, and her hands hold the distaff."
Proverbs,27,7,177000,41,The full soul loatheth an honeycomb; but to the hungry soul every bitter thing is sweet.
Proverbs,28,21,177000,42,To have respect of persons is not good: for for a piece of bread that man will transgress.
Proverbs,23,35,179000,43,"They have stricken me, shalt thou say, and I was not sick; they have beaten me, and I felt it not: when shall I awake? I will seek it yet again."
Proverbs,29,26,179000,44,Many seek the ruler’s favour; but every man’s judgment cometh from the LORD.
Proverbs,27,23,180000,45,"Be thou diligent to know the state of thy flocks, and look well to thy herds."
Proverbs,14,32,181000,46,The wicked is driven away in his wickedness: but the righteous hath hope in his death.
Proverbs,27,15,182000,47,A continual dropping in a very rainy day and a contentious woman are alike.
Proverbs,31,20,183000,48,"She stretcheth out her hand to the poor; yea, she reacheth forth her hands to the needy."
Proverbs,26,17,184000,49,"He that passeth by, and meddleth with strife belonging not to him, is like one that taketh a dog by the ears."
Proverbs,29,8,185000,50,Scornful men bring a city into a snare: but wise men turn away wrath.
Proverbs,31,11,185000,51,"The heart of her husband doth safely trust in her, so that he shall have no need of spoil."
Proverbs,25,18,188000,52,"A man that beareth false witness against his neighbour is a maul, and a sword, and a sharp arrow."
Proverbs,24,34,189000,53,So shall thy poverty come as one that travelleth; and thy want as an armed man.
Proverbs,26,8,192000,54,"As he that bindeth a stone in a sling, so is he that giveth honour to a fool."
Proverbs,29,22,192000,55,"An angry man stirreth up strife, and a furious man aboundeth in transgression."
Proverbs,26,19,194000,56,"So is the man that deceiveth his neighbour, and saith, Am not I in sport?"
Proverbs,31,5,199000,57,"Lest they drink, and forget the law, and pervert the judgment of any of the afflicted."
Proverbs,31,27,199000,58,"She looketh well to the ways of her household, and eateth not the bread of idleness."
Proverbs,29,7,201000,59,The righteous considereth the cause of the poor: but the wicked regardeth not to know it.
Proverbs,28,14,202000,60,Happy is the man that feareth alway: but he that hardeneth his heart shall fall into mischief.
Proverbs,26,21,203000,61,"As coals are to burning coals, and wood to fire; so is a contentious man to kindle strife."
Proverbs,26,9,204000,62,"As a thorn goeth up into the hand of a drunkard, so is a parable in the mouth of fools."
Proverbs,30,12,204000,63,"There is a generation that are pure in their own eyes, and yet is not washed from their filthiness."
Proverbs,29,23,205000,64,A man’s pride shall bring him low: but honour shall uphold the humble in spirit.
Proverbs,26,15,206000,65,The slothful hideth his hand in his bosom; it grieveth him to bring it again to his mouth.
Proverbs,25,16,207000,66,"Hast thou found honey? eat so much as is sufficient for thee, lest thou be filled therewith, and vomit it."
Proverbs,28,25,207000,67,He that is of a proud heart stirreth up strife: but he that putteth his trust in the LORD shall be made fat.
Proverbs,25,15,209000,68,"By long forbearing is a prince persuaded, and a soft tongue breaketh the bone."
Proverbs,27,18,212000,69,Whoso keepeth the fig tree shall eat the fruit thereof: so he that waiteth on his master shall be honoured.
Proverbs,29,15,212000,70,The rod and reproof give wisdom: but a child left to himself bringeth his mother to shame.
Proverbs,31,9,212000,71,"Open thy mouth, judge righteously, and plead the cause of the poor and needy."
Proverbs,27,8,214000,72,"As a bird that wandereth from her nest, so is a man that wandereth from his place."
Proverbs,28,23,215000,73,He that rebuketh a man afterwards shall find more favour than he that flattereth with the tongue.
Proverbs,30,30,215000,74,"A lion which is strongest among beasts, and turneth not away for any;"
Proverbs,16,29,218000,75,"A violent man enticeth his neighbour, and leadeth him into the way that is not good."
Proverbs,31,4,218000,76,"It is not for kings, O Lemuel, it is not for kings to drink wine; nor for princes strong drink:"
Proverbs,25,22,219000,77,"For thou shalt heap coals of fire upon his head, and the LORD shall reward thee."
Proverbs,27,16,221000,78,"Whosoever hideth her hideth the wind, and the ointment of his right hand, which bewrayeth itself."
Proverbs,31,7,222000,79,"Let him drink, and forget his poverty, and remember his misery no more. "
Proverbs,29,4,224000,80,The king by judgment establisheth the land: but he that receiveth gifts overthroweth it.
Proverbs,27,26,227000,81,"The lambs are for thy clothing, and the goats are the price of the field."
Proverbs,23,32,230000,82,"At the last it biteth like a serpent, and stingeth like an adder."
Proverbs,28,4,230000,83,They that forsake the law praise the wicked: but such as keep the law contend with them.
Proverbs,26,13,231000,84,"The slothful man saith, There is a lion in the way; a lion is in the streets."
Proverbs,23,16,233000,85,"Yea, my reins shall rejoice, when thy lips speak right things."
Proverbs,31,14,233000,86,She is like the merchants’ ships; she bringeth her food from afar.
Proverbs,25,12,234000,87,"As an earring of gold, and an ornament of fine gold, so is a wise reprover upon an obedient ear."
Proverbs,30,9,234000,88,"Lest I be full, and deny thee, and say, Who is the LORD? or lest I be poor, and steal, and take the name of my God in vain."
Proverbs,25,7,235000,89,"For better it is that it be said unto thee, Come up hither; than that thou shouldest be put lower in the presence of the prince whom thine eyes have seen."
Proverbs,23,17,236000,90,Let not thine heart envy sinners: but be thou in the fear of the LORD all the day long.
Proverbs,25,20,236000,91,"As he that taketh away a garment in cold weather, and as vinegar upon nitre, so is he that singeth songs to an heavy heart."
Proverbs,29,10,236000,92,The bloodthirsty hate the upright: but the just seek his soul.
Proverbs,26,24,238000,93,"He that hateth dissembleth with his lips, and layeth up deceit within him;"
Proverbs,25,13,240000,94,"As the cold of snow in the time of harvest, so is a faithful messenger to them that send him: for he refresheth the soul of his masters."
Proverbs,28,27,240000,95,He that giveth unto the poor shall not lack: but he that hideth his eyes shall have many a curse.
Proverbs,26,6,242000,96,"He that sendeth a message by the hand of a fool cutteth off the feet, and drinketh damage."
Proverbs,3,33,243000,97,The curse of the LORD is in the house of the wicked: but he blesseth the habitation of the just.
Proverbs,31,24,243000,98,"She maketh fine linen, and selleth it; and delivereth girdles unto the merchant."
