book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Proverbs,1,1,Proverbs 1:1,False,11500000,11500000,True,8,8,True,8,8,7.060698,2.008808,0.969136,0.915402
Proverbs,1,2,Proverbs 1:2,False,14700000,14700000,True,8,8,True,8,8,7.167317,2.184633,0.983771,0.935905
Proverbs,1,3,Proverbs 1:3,False,10900000,10900000,True,8,8,True,8,8,7.037427,1.970432,0.965942,0.910927
Proverbs,1,4,Proverbs 1:4,False,7470000,7470000,True,9,9,True,9,9,6.873321,1.699807,0.943417,0.879371
Proverbs,1,5,Proverbs 1:5,False,7110000,7110000,True,8,8,True,8,8,6.85187,1.664433,0.940473,0.875246
Proverbs,1,6,Proverbs 1:6,False,5750000,5750000,True,10,10,True,10,10,6.759668,1.512384,0.927818,0.857516
Proverbs,1,7,Proverbs 1:7,False,8620000,8620000,True,7,7,True,7,7,6.935507,1.802358,0.951953,0.891329
Proverbs,1,8,Proverbs 1:8,False,5530000,5530000,True,9,9,True,9,9,6.742725,1.484444,0.925492,0.854258
Proverbs,1,9,Proverbs 1:9,False,5870000,5870000,True,8,8,True,8,8,6.768638,1.527177,0.929049,0.859241
Proverbs,1,10,Proverbs 1:10,False,4670000,4670000,True,9,9,True,9,9,6.669317,1.363388,0.915416,0.840142
Proverbs,1,11,Proverbs 1:11,False,4020000,4020000,True,9,9,True,9,9,6.604226,1.256048,0.906482,0.827626
Proverbs,1,12,Proverbs 1:12,False,4290000,4290000,True,9,9,True,9,9,6.632457,1.302603,0.910357,0.833054
Proverbs,1,13,Proverbs 1:13,False,3640000,3640000,True,10,10,True,10,10,6.561102,1.184931,0.900563,0.819333
Proverbs,1,14,Proverbs 1:14,False,3660000,3660000,True,10,10,True,10,10,6.563481,1.188856,0.900889,0.819791
Proverbs,1,15,Proverbs 1:15,False,3790000,3790000,True,9,9,True,9,9,6.578639,1.213853,0.90297,0.822705
Proverbs,1,16,Proverbs 1:16,False,3440000,3440000,True,10,10,True,10,10,6.536559,1.144458,0.897194,0.814614
Proverbs,1,17,Proverbs 1:17,False,3570000,3570000,True,9,8,True,9,8,6.552668,1.171024,0.899405,0.817711
