book,chapter,verse,verse_text
Jude,1,1,"Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, and called:"
Jude,1,2,"Mercy unto you, and peace, and love, be multiplied."
Jude,1,3,"Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort you that ye should earnestly contend for the faith which was once delivered unto the saints."
Jude,1,4,"For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness, and denying the only Lord God, and our Lord Jesus Christ."
Jude,1,5,"I will therefore put you in remembrance, though ye once knew this, how that the Lord, having saved the people out of the land of Egypt, afterward destroyed them that believed not."
Jude,1,6,"And the angels which kept not their first estate, but left their own habitation, he hath reserved in everlasting chains under darkness unto the judgment of the great day."
Jude,1,7,"Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire."
Jude,1,8,"Likewise also these filthy dreamers defile the flesh, despise dominion, and speak evil of dignities."
Jude,1,9,"Yet Michael the archangel, when contending with the devil he disputed about the body of Moses, durst not bring against him a railing accusation, but said, The Lord rebuke thee."
Jude,1,10,"But these speak evil of those things which they know not: but what they know naturally, as brute beasts, in those things they corrupt themselves."
Jude,1,11,"Woe unto them! for they have gone in the way of Cain, and ran greedily after the error of Balaam for reward, and perished in the gainsaying of Core."
Jude,1,12,"These are spots in your feasts of charity, when they feast with you, feeding themselves without fear: clouds they are without water, carried about of winds; trees whose fruit withereth, without fruit, twice dead, plucked up by the roots;"
Jude,1,13,"Raging waves of the sea, foaming out their own shame; wandering stars, to whom is reserved the blackness of darkness for ever."
Jude,1,14,"And Enoch also, the seventh from Adam, prophesied of these, saying, Behold, the Lord cometh with ten thousands of his saints,"
Jude,1,15,"To execute judgment upon all, and to convince all that are ungodly among them of all their ungodly deeds which they have ungodly committed, and of all their hard speeches which ungodly sinners have spoken against him."
Jude,1,16,"These are murmurers, complainers, walking after their own lusts; and their mouth speaketh great swelling words, having men’s persons in admiration because of advantage."
Jude,1,17,"But, beloved, remember ye the words which were spoken before of the apostles of our Lord Jesus Christ;"
Jude,1,18,"How that they told you there should be mockers in the last time, who should walk after their own ungodly lusts."
Jude,1,19,"These be they who separate themselves, sensual, having not the Spirit."
Jude,1,20,"But ye, beloved, building up yourselves on your most holy faith, praying in the Holy Ghost,"
Jude,2,1,
Jude,2,2,
Jude,2,3,
Jude,2,4,
Jude,2,5,
Jude,2,6,
Jude,2,7,
Jude,2,8,
Jude,2,9,
Jude,2,10,
Jude,2,11,
Jude,2,12,
Jude,2,13,
Jude,2,14,
Jude,2,15,
Jude,2,16,
Jude,2,17,
Jude,2,18,
Jude,2,19,
Jude,2,20,
Jude,2,21,
Jude,2,22,
Jude,2,23,
Jude,2,24,
Jude,2,25,
Jude,2,26,
Jude,2,27,
Jude,2,28,
Jude,2,29,
Jude,3,1,
Jude,3,2,
Jude,3,3,
Jude,3,4,
Jude,3,5,
Jude,3,6,
Jude,3,7,
Jude,3,8,
Jude,3,9,
Jude,3,10,
Jude,3,11,
Jude,3,12,
Jude,3,13,
Jude,3,14,
Jude,3,15,
Jude,3,16,
Jude,3,17,
Jude,3,18,
Jude,3,19,
Jude,3,20,
Jude,3,21,
Jude,3,22,
Jude,4,1,
Jude,4,2,
Jude,4,3,
Jude,4,4,
Jude,4,5,
Jude,4,6,
Jude,4,7,
Jude,4,8,
Jude,4,9,
Jude,4,10,
Jude,4,11,
Jude,5,1,
Jude,5,2,
Jude,5,3,
Jude,5,4,
Jude,5,5,
Jude,5,6,
Jude,5,7,
Jude,5,8,
Jude,5,9,
Jude,5,10,
Jude,5,11,
Jude,5,12,
Jude,5,13,
Jude,5,14,
Jude,6,1,
Jude,6,2,
Jude,6,3,
Jude,6,4,
Jude,6,5,
Jude,6,6,
Jude,6,7,
Jude,6,8,
Jude,6,9,
Jude,6,10,
Jude,6,11,
Jude,6,12,
Jude,6,13,
Jude,6,14,
Jude,6,15,
Jude,6,16,
Jude,6,17,
Jude,7,1,
Jude,7,2,
Jude,7,3,
Jude,7,4,
Jude,7,5,
Jude,7,6,
Jude,7,7,
Jude,7,8,
Jude,7,9,
Jude,7,10,
Jude,7,11,
Jude,7,12,
Jude,7,13,
Jude,7,14,
Jude,7,15,
Jude,7,16,
Jude,7,17,
Jude,8,1,
Jude,8,2,
Jude,8,3,
Jude,8,4,
Jude,8,5,
Jude,8,6,
Jude,8,7,
Jude,8,8,
Jude,8,9,
Jude,8,10,
Jude,8,11,
Jude,8,12,
Jude,8,13,
Jude,9,1,
Jude,9,2,
Jude,9,3,
Jude,9,4,
Jude,9,5,
Jude,9,6,
Jude,9,7,
Jude,9,8,
Jude,9,9,
Jude,9,10,
Jude,9,11,
Jude,9,12,
Jude,9,13,
Jude,9,14,
Jude,9,15,
Jude,9,16,
Jude,9,17,
Jude,9,18,
Jude,9,19,
Jude,9,20,
Jude,9,21,
Jude,10,1,
Jude,10,2,
Jude,10,3,
Jude,10,4,
Jude,10,5,
Jude,10,6,
Jude,10,7,
Jude,10,8,
Jude,10,9,
Jude,10,10,
Jude,10,11,
Jude,11,1,
Jude,11,2,
Jude,11,3,
Jude,11,4,
Jude,11,5,
Jude,11,6,
Jude,11,7,
Jude,11,8,
Jude,11,9,
Jude,11,10,
Jude,11,11,
Jude,11,12,
Jude,11,13,
Jude,11,14,
Jude,11,15,
Jude,11,16,
Jude,11,17,
Jude,11,18,
Jude,11,19,
Jude,12,1,
Jude,12,2,
